diversity_shannon,observed,chao1,camargo,pielou,simpson,evar,bulla,sampleID,PD,SR,seqID,Mouse,Treatment,Diet,Cage,Desc,Day,Rec_day,Rec_day_adj,Sac.group,Aim,Cohort,reads.in,reads.out,nseqs,seq_run,Abx,Post.diet,Post.micr,Pre.diet
4.332872582,296,296.5,0.996101855,0.761440928,0.113176785,0.234009051,0.379963612,HF13,18.71665923,296,MMF.16S.123_HF13,5735,RC-ABX,RC,1,post_diet,10,-3,-3,0,A1,C1,212831,155462,137121,June_2021,ABX,NA,NA,RC
3.821931544,77,77,0.985369061,0.879857906,0.386268644,0.485324975,0.599284687,HF14,9.095551233,77,MMF.16S.123_HF14,5570,RC-ABX,RC,1,post_diet,10,-3,-3,0,A1,C1,37907,17565,15593,June_2021,ABX,NA,NA,RC
4.494072941,338,339,0.984859728,0.771773574,0.117188768,0.192744678,0.368505225,HF15,26.06201909,338,MMF.16S.123_HF15,5571,RC-ABX,RC,1,post_diet,10,-3,-3,0,A1,C1,412210,304523,265622,June_2021,ABX,NA,NA,RC
4.106114895,254,257,0.998191802,0.741532784,0.107261133,0.193940899,0.373708698,HF16,17.56289788,254,MMF.16S.123_HF16,5266,RC-ABX,RC,2,post_diet,10,-3,-3,0,A1,C1,222806,163463,144546,June_2021,ABX,NA,NA,RC
4.156973318,290,290,0.998794131,0.733167658,0.096178934,0.18952712,0.353008012,HF17,19.00238746,290,MMF.16S.123_HF17,5267,RC-ABX,RC,2,post_diet,10,-3,-3,0,A1,C1,299805,206165,177185,June_2021,ABX,NA,NA,RC
4.429782959,326,327.5,0.994984474,0.765484968,0.121356182,0.207617902,0.379680264,HF18,26.98811511,326,MMF.16S.123_HF18,5734,RC-ABX,RC,2,post_diet,10,-3,-3,0,A1,C1,292629,212211,179955,June_2021,ABX,NA,NA,RC
3.627040228,165,171,0.999646883,0.71035624,0.124778673,0.194617408,0.326229312,HF19,13.40184246,165,MMF.16S.123_HF19,5733,WD-ABX,WD,3,post_diet,10,-3,-3,0,A1,C1,109467,85077,76871,June_2021,ABX,NA,NA,WD
3.925479895,183,183.3333333,0.998634437,0.753525354,0.159309222,0.197211675,0.356630256,HF20,14.94501386,183,MMF.16S.123_HF20,5568,WD-ABX,WD,3,post_diet,10,-3,-3,0,A1,C1,189360,143416,129513,June_2021,ABX,NA,NA,WD
3.917036966,171,171,0.99951903,0.761822885,0.163866248,0.232540809,0.38087925,HF21,13.13378568,171,MMF.16S.123_HF21,5569,WD-ABX,WD,3,post_diet,10,-3,-3,0,A1,C1,180927,124532,115326,June_2021,ABX,NA,NA,WD
4.127823729,162,162,0.999486609,0.81135048,0.23071213,0.253278205,0.434160146,HF22,12.41876349,162,MMF.16S.123_HF22,5264,WD-ABX,WD,4,post_diet,10,-3,-3,0,A1,C1,112466,74068,65512,June_2021,ABX,NA,NA,WD
3.600946543,127,127,1,0.743354144,0.130781269,0.289220235,0.405193964,HF23,11.09922951,127,MMF.16S.123_HF23,5265,WD-ABX,WD,4,post_diet,10,-3,-3,0,A1,C1,52696,38665,29416,June_2021,ABX,NA,NA,WD
3.574427976,208,218,0.998872822,0.669677279,0.079594348,0.163906601,0.306965923,HF24,22.36818021,208,MMF.16S.123_HF24,5732,WD-ABX,WD,4,post_diet,10,-3,-3,0,A1,C1,267181,208273,179244,June_2021,ABX,NA,NA,WD
2.069584967,130,131,0.895968834,0.42518137,0.033187184,0.17976153,0.150340568,HF25,15.36232466,130,MMF.16S.123_HF25,5735,RC-ABX,RC,1,post_abx,13,0,0,0,A1,C1,221580,152208,143910,June_2021,ABX,NA,NA,RC
2.93324649,382,382,0.813506352,0.493362317,0.019973066,0.284631657,0.178646013,HF26,25.44756141,382,MMF.16S.123_HF26,5570,RC-ABX,RC,1,post_abx,13,0,0,0,A1,C1,494126,318489,311738,June_2021,ABX,NA,NA,RC
2.504835531,95,95,0.662414455,0.55004463,0.066813268,0.210781289,0.219982598,HF27,9.785049989,95,MMF.16S.123_HF27,5571,RC-ABX,RC,1,post_abx,13,0,0,0,A1,C1,63126,45151,43524,June_2021,ABX,NA,NA,RC
2.149659218,53,53,0.998199361,0.541436062,0.099677615,0.182983197,0.234932124,HF28,6.822176861,53,MMF.16S.123_HF28,5266,RC-ABX,RC,2,post_abx,13,0,0,0,A1,C1,50487,28489,27114,June_2021,ABX,NA,NA,RC
2.057575854,60,60,0.575344896,0.502540962,0.069594148,0.203856416,0.22175817,HF29,7.048119168,60,MMF.16S.123_HF29,5267,RC-ABX,RC,2,post_abx,13,0,0,0,A1,C1,51016,29075,28231,June_2021,ABX,NA,NA,RC
2.115719363,65,65,0.674078742,0.506833513,0.07401767,0.219684112,0.2069544,HF30,10.39866851,65,MMF.16S.123_HF30,5734,RC-ABX,RC,2,post_abx,13,0,0,0,A1,C1,41469,26751,25479,June_2021,ABX,NA,NA,RC
0.117158323,8,8,1,0.056341244,0.129519219,0.115245963,0.020157357,HF31,4.980388029,8,MMF.16S.123_HF31,5733,WD-ABX,WD,3,post_abx,13,0,0,0,A1,C1,26906,22972,22710,June_2021,ABX,NA,NA,WD
0.078304763,12,12,1,0.031512155,0.085039377,0.130263685,0.011005554,HF32,3.311250607,12,MMF.16S.123_HF32,5568,WD-ABX,WD,3,post_abx,13,0,0,0,A1,C1,36599,31769,31592,June_2021,ABX,NA,NA,WD
0.300075315,9,9,1,0.136570162,0.124483683,0.109788146,0.062648348,HF33,2.750185649,9,MMF.16S.123_HF33,5569,WD-ABX,WD,3,post_abx,13,0,0,0,A1,C1,17505,14729,14093,June_2021,ABX,NA,NA,WD
0.421485704,12,12,1,0.169618325,0.098537507,0.148019472,0.088648474,HF34,2.585430549,12,MMF.16S.123_HF34,5264,WD-ABX,WD,4,post_abx,13,0,0,0,A1,C1,30196,25015,24691,June_2021,ABX,NA,NA,WD
0.259026119,6,6,1,0.14456523,0.184372718,0.106627487,0.05958978,HF35,1.606080709,6,MMF.16S.123_HF35,5265,WD-ABX,WD,4,post_abx,13,0,0,0,A1,C1,16644,14350,14172,June_2021,ABX,NA,NA,WD
0.203743168,9,9,1,0.092727512,0.118804346,0.1484951,0.037162941,HF36,2.344647517,9,MMF.16S.123_HF36,5732,WD-ABX,WD,4,post_abx,13,0,0,0,A1,C1,22552,18502,17981,June_2021,ABX,NA,NA,WD
1.654532184,25,25,0.999363489,0.514009323,0.151411833,0.143116841,0.241954595,HF49,5.490357018,25,MMF.16S.123_HF49,5735,RC-ABX,RC,1,rec_wk1,14,1,1,0,A1,C1,26204,19154,18604,June_2021,ABX,NA,NA,RC
2.017751344,48,48,0.998585837,0.521221021,0.098022949,0.180608023,0.215715919,HF50,8.27672428,48,MMF.16S.123_HF50,5570,RC-ABX,RC,1,rec_wk1,14,1,1,0,A1,C1,29648,20677,19596,June_2021,ABX,NA,NA,RC
2.037440211,89,89,0.451290623,0.45391073,0.035920834,0.331308374,0.214339176,HF51,9.428282931,89,MMF.16S.123_HF51,5571,RC-ABX,RC,1,rec_wk1,14,1,1,0,A1,C1,50918,32514,31150,June_2021,ABX,NA,NA,RC
1.823281507,91,91,0.359214782,0.404198248,0.026990842,0.357237967,0.193312018,HF52,7.862748842,91,MMF.16S.123_HF52,5266,RC-ABX,RC,2,rec_wk1,14,1,1,0,A1,C1,64799,36290,35102,June_2021,ABX,NA,NA,RC
1.846752519,18,18,1,0.638932523,0.194037838,0.261317298,0.45381237,HF53,4.27323482,18,MMF.16S.123_HF53,5267,RC-ABX,RC,2,rec_wk1,14,1,1,0,A1,C1,8420,4536,4262,June_2021,ABX,NA,NA,RC
2.068506119,39,39,1,0.564616163,0.14594542,0.155543872,0.233826389,HF54,5.778449015,39,MMF.16S.123_HF54,5734,RC-ABX,RC,2,rec_wk1,14,1,1,0,A1,C1,20604,15915,15535,June_2021,ABX,NA,NA,RC
0.113124618,6,6,1,0.063136052,0.172713682,0.110771096,0.021248952,HF56,1.580314302,6,MMF.16S.123_HF56,5265,WD-ABX,WD,4,rec_wk1,14,1,1,0,A1,C1,14306,12245,12195,June_2021,ABX,NA,NA,WD
0.100325631,5,5,1,0.062335819,0.20674229,0.084668326,0.020629036,HF58,1.889029874,5,MMF.16S.123_HF58,5733,WD-ABX,WD,3,rec_wk1,14,1,1,0,A1,C1,11239,10231,10170,June_2021,ABX,NA,NA,WD
0.231104318,15,15,1,0.085339747,0.071613036,0.143861156,0.037751089,HF59,5.6054306,15,MMF.16S.123_HF59,5568,WD-ABX,WD,3,rec_wk1,14,1,1,0,A1,C1,28808,25202,24324,June_2021,ABX,NA,NA,WD
0.054204527,4,4,1,0.039100301,0.254031662,0.08931715,0.010641012,HF60,1.415695367,4,MMF.16S.123_HF60,5569,WD-ABX,WD,3,rec_wk1,14,1,1,0,A1,C1,13946,12050,11996,June_2021,ABX,NA,NA,WD
0.987047553,17,17,1,0.348384478,0.102937441,0.152036643,0.206014349,HF100,3.003749998,17,MMF.16S.124_HF100,5266,RC-ABX,RC,2,rec_wk1,17,4,4,0,A1,C1,38806,34161,29680,June_2021,ABX,NA,NA,RC
1.875229851,25,25,1,0.582572908,0.179481726,0.098184346,0.311314838,HF101,3.694075945,25,MMF.16S.124_HF101,5267,RC-ABX,RC,2,rec_wk1,17,4,4,0,A1,C1,97875,80479,74836,June_2021,ABX,NA,NA,RC
1.782878151,31,31,1,0.51918602,0.117592379,0.12754635,0.255400327,HF102,4.399334477,31,MMF.16S.124_HF102,5734,RC-ABX,RC,2,rec_wk1,17,4,4,0,A1,C1,80157,60832,55527,June_2021,ABX,NA,NA,RC
0.050572783,9,9,1,0.023016665,0.112624196,0.080253221,0.007589826,HF103,2.342880194,9,MMF.16S.124_HF103,5733,WD-ABX,WD,3,rec_wk1,17,4,4,0,A1,C1,71309,67129,67005,June_2021,ABX,NA,NA,WD
0.051898872,7,7,1,0.026670744,0.144834036,0.099024958,0.007996011,HF104,4.852957072,7,MMF.16S.124_HF104,5568,WD-ABX,WD,3,rec_wk1,17,4,4,0,A1,C1,31070,29565,29459,June_2021,ABX,NA,NA,WD
0.093484555,10,10,1,0.040599827,0.102631516,0.119199382,0.014353634,HF105,4.520400972,10,MMF.16S.124_HF105,5569,WD-ABX,WD,3,rec_wk1,17,4,4,0,A1,C1,67425,62815,62528,June_2021,ABX,NA,NA,WD
0.110926489,12,12,1,0.044640103,0.086015398,0.121809058,0.017168106,HF106,3.698388548,12,MMF.16S.124_HF106,5264,WD-ABX,WD,4,rec_wk1,17,4,4,0,A1,C1,50671,47757,47499,June_2021,ABX,NA,NA,WD
0.095790927,9,9,1,0.04359633,0.114312453,0.08968553,0.015894819,HF107,2.238707641,9,MMF.16S.124_HF107,5265,WD-ABX,WD,4,rec_wk1,17,4,4,0,A1,C1,41319,39620,39508,June_2021,ABX,NA,NA,WD
