"Treatment","BC.dist","Post.Diet","Post.Micr"
"RC-RC","0.92482655637753","RC","RC"
"RC-RC","0.945785104456037","RC","RC"
"RC-RC","0.716568398608045","RC","RC"
"RC-RC","0.700535554862266","RC","RC"
"RC-RC","0.879644837079673","RC","RC"
"RC-RC","0.776301824819004","RC","RC"
"RC-RC","NA","RC","RC"
"RC-DIET","0.987993866066745","WD","RC"
"RC-DIET","0.993457450706002","WD","RC"
"RC-DIET","0.996753272548308","WD","RC"
"RC-DIET","0.985909036798158","WD","RC"
"RC-DIET","0.971573175284732","WD","RC"
"RC-DIET","0.96877161401181","WD","RC"
"RC-DIET","0.983605634840903","WD","RC"
"RC-MICR","0.631300913650515","RC","WD"
"RC-MICR","0.952553462751553","RC","WD"
"RC-MICR","0.957598375303612","RC","WD"
"RC-MICR","0.654342884248283","RC","WD"
"RC-MICR","0.940447646545927","RC","WD"
"RC-MICR","0.943591665209262","RC","WD"
"RC-MICR","0.944916903230402","RC","WD"
"RC-WD","0.996535972966559","WD","WD"
"RC-WD","0.996833106146835","WD","WD"
"RC-WD","0.982950194741465","WD","WD"
"RC-WD","0.977678427215742","WD","WD"
"RC-WD","0.9830320342475","WD","WD"
"RC-WD","0.984859645625038","WD","WD"
"RC-WD","NA","WD","WD"
"RC-ABX-PBS","0.986713032155822","RC","PBS"
"RC-ABX-PBS","0.9309110933394","RC","PBS"
"RC-ABX-PBS","0.938140857083985","RC","PBS"
"RC-ABX-PBS","0.779706972882973","RC","PBS"
"RC-ABX-PBS","0.685960641797424","RC","PBS"
"RC-ABX-PBS","0.707926505823462","RC","PBS"
"RC-ABX-PBS","NA","RC","PBS"
"WD-RC","0.911225173582138","RC","RC"
"WD-RC","0.98138922971196","RC","RC"
"WD-RC","0.977228757005479","RC","RC"
"WD-RC","0.926837369030139","RC","RC"
"WD-RC","0.91579517806274","RC","RC"
"WD-RC","0.800906599676133","RC","RC"
"WD-RC","0.74207137893635","RC","RC"
"WD-DIET","0.945742590338682","RC","WD"
"WD-DIET","0.926249888870356","RC","WD"
"WD-DIET","0.93643742781283","RC","WD"
"WD-DIET","0.632322922670619","RC","WD"
"WD-DIET","0.824384931496024","RC","WD"
"WD-DIET","0.971506209532784","RC","WD"
"WD-DIET","0.974015502662553","RC","WD"
"WD-MICR","0.98129102108978","WD","RC"
"WD-MICR","0.992020402580625","WD","RC"
"WD-MICR","0.985688188697689","WD","RC"
"WD-MICR","0.970771542118531","WD","RC"
"WD-MICR","0.97983359313701","WD","RC"
"WD-MICR","0.974770838950336","WD","RC"
"WD-MICR","NA","WD","RC"
"WD-WD","0.982786191229988","WD","WD"
"WD-WD","0.993837635201298","WD","WD"
"WD-WD","0.976781164969631","WD","WD"
"WD-WD","0.98186246592727","WD","WD"
"WD-WD","0.978318174373895","WD","WD"
"WD-WD","NA","WD","WD"
"WD-WD","NA","WD","WD"
"WD-ABX-PBS","0.994988526411384","WD","PBS"
"WD-ABX-PBS","0.994988526411384","WD","PBS"
"WD-ABX-PBS","0.994988526411384","WD","PBS"
"WD-ABX-PBS","0.994988526411384","WD","PBS"
"WD-ABX-PBS","0.994988526411384","WD","PBS"
"WD-ABX-PBS","0.994988526411384","WD","PBS"
"WD-ABX-PBS","0.994988526411384","WD","PBS"
