"diversity_shannon","observed","chao1","PD","SR","sampleID","seqID","Mouse","Treatment","Diet","Cage","Desc","Day","Rec_day","Rec_day_adj","Sac.group","Aim","Cohort","reads.in","reads.out","nseqs","seq_run","Abx","Post.diet","Post.micr","Pre.diet"
4.38159826336793,277,277.5,22.565447952,277,"HF5000","MMF.16S.202_HF5000","1587","RC-PBS-PBS","RC","1A","baseline",21,-31,-31,NA,"A2","C1",68220,62320,52381,"Feb_2022","PBS","RC","PBS","RC"
3.55657996782859,96,96,10.144516135,96,"HF5004","MMF.16S.202_HF5004","1585","RC-RC","RC","1B","baseline",21,-31,-31,NA,"A2","C1",10640,9436,7089,"Feb_2022","ABX","RC","RC","RC"
4.49318700637564,300,315,20.477482067,300,"HF5005","MMF.16S.202_HF5005","1574","RC-ABX-PBS","RC","1B","baseline",21,-31,-31,NA,"A2","C1",94848,84343,65172,"Feb_2022","ABX","RC","PBS","RC"
3.55463797947118,91,91,10.389949259,91,"HF5006","MMF.16S.202_HF5006","1566","RC-DIET","RC","1B","baseline",21,-31,-31,NA,"A2","C1",10050,8869,7089,"Feb_2022","ABX","WD","RC","RC"
3.78059123203095,213,219,15.978923906,213,"HF5007","MMF.16S.203_HF5007","1588","RC-MICR","RC","1B","baseline",21,-31,-31,NA,"A2","C1",47461,41593,30420,"Feb_2022","ABX","RC","WD","RC"
3.22087828008628,138,138,12.188501018,138,"HF5011","MMF.16S.203_HF5011","1568","RC-WD","RC","1C","baseline",21,-31,-31,NA,"A2","C1",40237,34255,27926,"Feb_2022","ABX","WD","WD","RC"
2.99858164968403,63,63,8.212114711,63,"HF5012","MMF.16S.203_HF5012","1571","WD-RC","WD","1D","baseline",21,-31,-31,NA,"A2","C1",4335,3490,2659,"Feb_2022","ABX","RC","RC","WD"
2.78111039026818,95,95,9.973244106,95,"HF5013","MMF.16S.203_HF5013","1589","WD-MICR","WD","1D","baseline",21,-31,-31,NA,"A2","C1",17989,15882,13983,"Feb_2022","ABX","WD","RC","WD"
3.03722243578948,91,91,9.291261365,91,"HF5018","MMF.16S.203_HF5018","1580","WD-DIET","WD","1E","baseline",21,-31,-31,NA,"A2","C1",17734,14670,11813,"Feb_2022","ABX","RC","WD","WD"
2.58778393880804,70,71,8.028844621,70,"HF5020","MMF.16S.203_HF5020","1570","WD-ABX-PBS","WD","1E","baseline",21,-31,-31,NA,"A2","C1",13910,12523,9900,"Feb_2022","ABX","WD","PBS","WD"
2.23573412755951,33,33,6.281832877,33,"HF5022","MMF.16S.203_HF5022","1584","WD-WD","WD","1F","baseline",21,-31,-31,NA,"A2","C1",3583,3152,2502,"Feb_2022","ABX","WD","WD","WD"
3.22810367402116,215,218,16.105235516,215,"HF5072","MMF.16S.203_HF5072","1587","RC-PBS-PBS","RC","1A","pre-abx",49,-3,-3,NA,"A2","C1",47888,43044,31348,"Feb_2022","PBS","RC","PBS","RC"
2.48294891695502,55,55,7.753094036,55,"HF5076","MMF.16S.203_HF5076","1585","RC-RC","RC","1B","pre-abx",49,-3,-3,NA,"A2","C1",4939,4495,3443,"Feb_2022","ABX","RC","RC","RC"
3.45234687909948,73,73.5,9.48640082,73,"HF5077","MMF.16S.203_HF5077","1566","RC-DIET","RC","1B","pre-abx",49,-3,-3,NA,"A2","C1",4157,3555,2430,"Feb_2022","ABX","WD","RC","RC"
2.76291432559571,67,67,8.881242442,67,"HF5078","MMF.16S.203_HF5078","1588","RC-MICR","RC","1B","pre-abx",49,-3,-3,NA,"A2","C1",5348,4597,3778,"Feb_2022","ABX","RC","WD","RC"
3.12149014107953,74,74.3333333333333,8.615252895,74,"HF5079","MMF.16S.203_HF5079","1574","RC-ABX-PBS","RC","1B","pre-abx",49,-3,-3,NA,"A2","C1",18779,13822,10590,"Feb_2022","ABX","RC","PBS","RC"
2.78461769559378,213,213.5,15.580738245,213,"HF5083","MMF.16S.203_HF5083","1568","RC-WD","RC","1C","pre-abx",49,-3,-3,NA,"A2","C1",57736,51471,39496,"Feb_2022","ABX","WD","WD","RC"
1.54832494067175,22,22,4.992259224,22,"HF5084","MMF.16S.203_HF5084","1571","WD-RC","WD","1D","pre-abx",49,-3,-3,NA,"A2","C1",21799,19164,15428,"Feb_2022","ABX","RC","RC","WD"
1.6475324128963,23,23,4.532652871,23,"HF5085","MMF.16S.203_HF5085","1589","WD-MICR","WD","1D","pre-abx",49,-3,-3,NA,"A2","C1",21869,16575,13570,"Feb_2022","ABX","WD","RC","WD"
1.50085308714511,48,48,7.514456539,48,"HF5086","MMF.16S.203_HF5086","1569","WD-PBS-PBS","WD","1D","pre-abx",49,-3,-3,NA,"A2","C1",80949,74253,55889,"Feb_2022","PBS","WD","PBS","WD"
2.37350154713746,34,34,6.16669377,34,"HF5090","MMF.16S.203_HF5090","1580","WD-DIET","WD","1E","pre-abx",49,-3,-3,NA,"A2","C1",5922,4798,3771,"Feb_2022","ABX","RC","WD","WD"
2.53455597998271,85,85,9.497333262,85,"HF5091","MMF.16S.203_HF5091","1570","WD-ABX-PBS","WD","1E","pre-abx",49,-3,-3,NA,"A2","C1",30624,27087,19951,"Feb_2022","ABX","WD","PBS","WD"
1.53752889672484,17,17,4.295190071,17,"HF5094","MMF.16S.203_HF5094","1584","WD-WD","WD","1F","pre-abx",49,-3,-3,NA,"A2","C1",13305,11510,9800,"Feb_2022","ABX","WD","WD","WD"
4.28218902649212,257,260.75,17.171795241,257,"HF5096","MMF.16S.203_HF5096","1587","RC-PBS-PBS","RC","1A","post-abx",52,0,0,NA,"A2","C1",39761,33091,24044,"Feb_2022","PBS","RC","PBS","RC"
