sampleID,seqID,Mouse,Treatment,Diet,Cage,Desc,Day,Rec_day,Rec_day_adj,Sac.group,Aim,Cohort,reads.in,reads.out,nseqs,seq_run,Abx,Post.diet,Post.micr,Pre.diet
HF5000,MMF.16S.202_HF5000,1587,RC-PBS-PBS,RC,1A,baseline,21,-31,-31,NA,A2,C1,68220,62320,52381,Feb_2022,PBS,RC,PBS,RC
HF5004,MMF.16S.202_HF5004,1585,RC-RC,RC,1B,baseline,21,-31,-31,NA,A2,C1,10640,9436,7089,Feb_2022,ABX,RC,RC,RC
HF5005,MMF.16S.202_HF5005,1574,RC-ABX-PBS,RC,1B,baseline,21,-31,-31,NA,A2,C1,94848,84343,65172,Feb_2022,ABX,RC,PBS,RC
HF5006,MMF.16S.202_HF5006,1566,RC-DIET,RC,1B,baseline,21,-31,-31,NA,A2,C1,10050,8869,7089,Feb_2022,ABX,WD,RC,RC
HF5007,MMF.16S.203_HF5007,1588,RC-MICR,RC,1B,baseline,21,-31,-31,NA,A2,C1,47461,41593,30420,Feb_2022,ABX,RC,WD,RC
HF5011,MMF.16S.203_HF5011,1568,RC-WD,RC,1C,baseline,21,-31,-31,NA,A2,C1,40237,34255,27926,Feb_2022,ABX,WD,WD,RC
HF5012,MMF.16S.203_HF5012,1571,WD-RC,WD,1D,baseline,21,-31,-31,NA,A2,C1,4335,3490,2659,Feb_2022,ABX,RC,RC,WD
HF5013,MMF.16S.203_HF5013,1589,WD-MICR,WD,1D,baseline,21,-31,-31,NA,A2,C1,17989,15882,13983,Feb_2022,ABX,WD,RC,WD
HF5014,MMF.16S.203_HF5014,1569,WD-PBS-PBS,WD,1D,baseline,21,-31,-31,NA,A2,C1,3287,1732,1455,Feb_2022,PBS,WD,PBS,WD
HF5018,MMF.16S.203_HF5018,1580,WD-DIET,WD,1E,baseline,21,-31,-31,NA,A2,C1,17734,14670,11813,Feb_2022,ABX,RC,WD,WD
HF5022,MMF.16S.203_HF5022,1584,WD-WD,WD,1F,baseline,21,-31,-31,NA,A2,C1,3583,3152,2502,Feb_2022,ABX,WD,WD,WD
HF5020,MMF.16S.203_HF5020,1570,WD-ABX-PBS,WD,1E,baseline,21,-31,-31,NA,A2,C1,13910,12523,9900,Feb_2022,ABX,WD,PBS,WD
HF5300,MMF.16S.203_HF5300,1624,RC-MICR,RC,2A,baseline,21,-31,-31,NA,A2,C2,47629,40445,32055,Feb_2022,ABX,RC,WD,RC
HF5301,MMF.16S.203_HF5301,1622,RC-ABX-PBS,RC,2A,baseline,21,-31,-31,NA,A2,C2,23896,20956,14663,Feb_2022,ABX,RC,PBS,RC
HF5302,MMF.16S.203_HF5302,1623,RC-PBS-PBS,RC,2A,baseline,21,-31,-31,NA,A2,C2,11253,9598,7909,Feb_2022,PBS,RC,PBS,RC
HF5303,MMF.16S.203_HF5303,1625,RC-PBS-PBS,RC,2A,baseline,21,-31,-31,NA,A2,C2,32584,29363,22470,Feb_2022,PBS,RC,PBS,RC
HF5304,MMF.16S.203_HF5304,1621,RC-WD,RC,2B,baseline,21,-31,-31,NA,A2,C2,86535,78788,62047,Feb_2022,ABX,WD,WD,RC
HF5305,MMF.16S.203_HF5305,1639,RC-MICR,RC,2B,baseline,21,-31,-31,NA,A2,C2,29773,24996,20087,Feb_2022,ABX,RC,WD,RC
HF5306,MMF.16S.203_HF5306,1637,RC-DIET,RC,2B,baseline,21,-31,-31,NA,A2,C2,73305,62205,47452,Feb_2022,ABX,WD,RC,RC
HF5307,MMF.16S.203_HF5307,1636,RC-RC,RC,2B,baseline,21,-31,-31,NA,A2,C2,11220,9044,5750,Feb_2022,ABX,RC,RC,RC
HF5308,MMF.16S.203_HF5308,1638,RC-RC,RC,2C,baseline,21,-31,-31,NA,A2,C2,5951,5117,4136,Feb_2022,ABX,RC,RC,RC
HF5309,MMF.16S.203_HF5309,1640,RC-WD,RC,2C,baseline,21,-31,-31,NA,A2,C2,392,349,233,Feb_2022,ABX,WD,WD,RC
HF5310,MMF.16S.203_HF5310,1644,RC-DIET,RC,2C,baseline,21,-31,-31,NA,A2,C2,7764,6726,4708,Feb_2022,ABX,WD,RC,RC
HF5311,MMF.16S.203_HF5311,1641,RC-ABX-PBS,RC,2C,baseline,21,-31,-31,NA,A2,C2,13745,11263,8290,Feb_2022,ABX,RC,PBS,RC
HF5312,MMF.16S.203_HF5312,1643,WD-ABX-PBS,WD,2D,baseline,21,-31,-31,NA,A2,C2,43408,35886,27182,Feb_2022,ABX,WD,PBS,WD
HF5313,MMF.16S.203_HF5313,1642,WD-PBS-PBS,WD,2D,baseline,21,-31,-31,NA,A2,C2,5651,4312,3554,Feb_2022,PBS,WD,PBS,WD
HF5314,MMF.16S.203_HF5314,1626,WD-MICR,WD,2D,baseline,21,-31,-31,NA,A2,C2,2396,2092,1638,Feb_2022,ABX,WD,RC,WD
HF5315,MMF.16S.203_HF5315,1629,WD-PBS-PBS,WD,2D,baseline,21,-31,-31,NA,A2,C2,56447,49136,34329,Feb_2022,PBS,WD,PBS,WD
HF5316,MMF.16S.203_HF5316,1627,WD-ABX-PBS,WD,2E,baseline,21,-31,-31,NA,A2,C2,39650,37242,29634,Feb_2022,ABX,WD,PBS,WD
