SampleID,Day,Mouse,Cage,Desc,Type,Type.adj,Type.adj2,meanCFUpg_LB,Cohort,Cohort2,Treatment,Diet,Abx,infect,hpi
ST976,65.25,86,6160718,t=6,fecal,fecal,fecal,0.00E+00,4,4a,RC-ABX-INF,RC,ABX,INF,6
ST988,65.5,86,6160718,t=12,fecal,fecal,fecal,5.04E+05,4,4a,RC-ABX-INF,RC,ABX,INF,12
ST994,66,86,6160718,t=24,fecal,fecal,fecal,1.78E+06,4,4a,RC-ABX-INF,RC,ABX,INF,24
ST1012,67,86,6160718,t=48,fecal,fecal,fecal,9.35E+05,4,4a,RC-ABX-INF,RC,ABX,INF,48
ST1024,68,86,6160718,t=72,fecal,fecal,fecal,3.04E+06,4,4a,RC-ABX-INF,RC,ABX,INF,72
86,69,86,6160718,t=96,cec-L,cec-L,cec-L,1.21E+08,4,4a,RC-ABX-INF,RC,ABX,INF,96
86,69,86,6160718,t=96,col-L,fecal,col-L,6.20E+07,4,4a,RC-ABX-INF,RC,ABX,INF,96
86,69,86,6160718,t=96,fecal,fecal,fecal,1.51E+07,4,4a,RC-ABX-INF,RC,ABX,INF,96
86,69,86,6160718,t=96,ile-L,ile-L,ile-L,NA,4,4a,RC-ABX-INF,RC,ABX,INF,96
86,69,86,6160718,t=96,liv,liv,liv,1.92E+06,4,4a,RC-ABX-INF,RC,ABX,INF,96
86,69,86,6160718,t=96,MLN,MLN,MLN,2.26E+06,4,4a,RC-ABX-INF,RC,ABX,INF,96
86,69,86,6160718,t=96,spl,spl,spl,2.33E+07,4,4a,RC-ABX-INF,RC,ABX,INF,96
ST975,65.25,87,6160718,t=6,fecal,fecal,fecal,1.13E+06,4,4a,RC-ABX-INF,RC,ABX,INF,6
ST987,65.5,87,6160718,t=12,fecal,fecal,fecal,NA,4,4a,RC-ABX-INF,RC,ABX,INF,12
ST993,66,87,6160718,t=24,fecal,fecal,fecal,4.63E+06,4,4a,RC-ABX-INF,RC,ABX,INF,24
ST1011,67,87,6160718,t=48,fecal,fecal,fecal,9.52E+05,4,4a,RC-ABX-INF,RC,ABX,INF,48
ST1023,68,87,6160718,t=72,fecal,fecal,fecal,9.02E+05,4,4a,RC-ABX-INF,RC,ABX,INF,72
87,69,87,6160718,t=96,cec-L,cec-L,cec-L,1.19E+08,4,4a,RC-ABX-INF,RC,ABX,INF,96
87,69,87,6160718,t=96,col-L,fecal,col-L,5.25E+07,4,4a,RC-ABX-INF,RC,ABX,INF,96
