SampleID,AnAer,Day,Rec_day_adj,Mouse,Cage,Trt_noInf,Treatment,Diet,Abx,Inf,Desc,meanCFUpg_BHIS,Aim,Cohort
ST18,anaer,49,-3,2187,6151946,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,5.69E+09,3,1
ST17,anaer,49,-3,4025,6151946,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,1.42E+09,3,1
ST345,anaer,49,-3,92,6158105,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,2.97E+09,3,2
ST346,anaer,49,-3,238,6158105,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,4.38E+09,3,2
ST618,anaer,49,-3,98,6158101,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,NA,3,3
ST617,anaer,49,-3,247,6158101,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,NA,3,3
ST915,anaer,49,-3,86,6160718,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,2.49E+11,3,4
ST914,anaer,49,-3,87,6160718,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,6.79E+11,3,4
ST913,anaer,49,-3,5001,6160718,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,4.77E+10,3,4
ST916,anaer,49,-3,5002,6160719,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,7.02E+10,3,4
ST917,anaer,49,-3,5003,6160719,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,1.21E+11,3,4
ST918,anaer,49,-3,5004,6160719,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,3.41E+11,3,4
ST1219,anaer,49,-3,6500,6183042,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,3.41E+11,3,5
ST1220,anaer,49,-3,6501,6183042,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,3.43E+11,3,5
ST1221,anaer,49,-3,6502,6183042,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,2.21E+11,3,5
ST1375,anaer,49,-3,6512,6183046,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,1.91E+10,3,6
ST1376,anaer,49,-3,6513,6183046,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,7.77E+09,3,6
ST1377,anaer,49,-3,6514,6183046,RC-ABX,RC-ABX-INF,RC,ABX,INF,pre-abx,3.05E+09,3,6
ST39,anaer,52,0,2187,6151946,RC-ABX,RC-ABX-INF,RC,ABX,INF,post-abx,0.00E+00,3,1
