Cage,Date,Cohort,Diet,Abx,nMice,Water.weight,Desc
5893632,10/28/22,2,RC,PBS,2,166.9,pre
5893632,10/31/22,2,RC,PBS,2,129.7,post
5893633,10/28/22,2,RC,PBS,2,232.4,pre
5893633,10/31/22,2,RC,PBS,2,198.3,post
5893634,10/28/22,2,WD,PBS,2,229,pre
5893634,10/31/22,2,WD,PBS,2,216.3,post
5893635,10/28/22,2,WD,ABX,2,265,pre
5893635,10/31/22,2,WD,ABX,2,240.2,post
6158105,10/28/22,2,RC,ABX,2,230.5,pre
6158105,10/31/22,2,RC,ABX,2,201.7,post
6158106,10/28/22,2,RC,ABX,2,252,pre
6158106,10/31/22,2,RC,ABX,2,221.2,post
6158107,10/28/22,2,WD,ABX,2,239.8,pre
6158107,10/31/22,2,WD,ABX,2,218.2,post
6158108,10/28/22,2,WD,PBS,2,249,pre
6158108,10/31/22,2,WD,PBS,2,223.2,post
6158101,11/1/22,3,RC,ABX,2,297.4,pre
6158101,11/4/22,3,RC,ABX,2,278.8,post
6158102,11/1/22,3,RC,ABX,2,299.2,pre
6158102,11/4/22,3,RC,ABX,2,283.1,post
6158103,11/1/22,3,WD,ABX,2,202.9,pre
6158103,11/4/22,3,WD,ABX,2,181.6,post
6158104,11/1/22,3,WD,ABX,2,183.9,pre
6158104,11/4/22,3,WD,ABX,2,162.3,post
6169385,11/1/22,3,RC,PBS,2,287,pre
6169385,11/4/22,3,RC,PBS,2,267.1,post
6169386,11/1/22,3,RC,PBS,2,296.3,pre
6169386,11/4/22,3,RC,PBS,2,273.8,post
6169387,11/1/22,3,WD,PBS,2,292.2,pre
6169387,11/4/22,3,WD,PBS,2,272.2,post
6169388,11/1/22,3,WD,PBS,2,292.3,pre
6169388,11/4/22,3,WD,PBS,2,271.5,post
6160718,11/15/22,4,RC,ABX,3,231.3,pre
6160718,11/18/22,4,RC,ABX,3,217.5,post
6160719,11/15/22,4,RC,ABX,3,247.5,pre
6160719,11/18/22,4,RC,ABX,3,188.9,post
6160720,11/15/22,4,WD,ABX,3,228,pre
6160720,11/18/22,4,WD,ABX,3,201.2,post
6160721,11/15/22,4,WD,ABX,3,276.4,pre
6160721,11/18/22,4,WD,ABX,3,245.7,post
