SampleName,Valeric acid,4-Methylvaleric acid,Pyruvic acid,Lactic acid,Hexanoic acid,Alanine,Valine,Octanoic acid,Leucine,Niacin,Isoleucine,Proline,Glycine,Succinic acid,Picolinic acid,Fumaric acid,Serine,Threonine,Glutaric acid,Indole,Decanoic acid,Malic acid,meso_Erythritol,Methionine,Aspartic acid,Cysteine,2_deoxy_Ribose,Ornithine,Glutamic acid,Phenylalanine,Dodecanoic acid,Asparagine,Arabinose,Ribose,Lysine,Rhamnose,Fucose,cis-Aconitic acid,Shikimic acid,Citric acid,Myristic acid,Tryptophol,Tyrosine,Fructose,Allose,Galactose,Glucose,Sorbitol,Dulcitol,Indole-3-acetic acid,Palmitic acid,myo_Inositol,Linoleic acid,cis_Oleic acid,Sucrose,Cellobiose,Melibiose,Coprostanol,Cholesterol,Dihydrocholesterol,Lithocholic/Allolithocholic/Isolithocholic acid,Deoxycholic acid,3-Ketolithocholic acid,Ursodeoxycholic acid,Raffinose,12_Ketolithocholic acid,Cholic/Allocholic acid,5_Oxoproline,N_Acetyl_Glucosamine,alpha_Ketoglutaric acid ,trans_4_Hydroxyproline
ST19,1.888840166,0.022632046,0.039958056,1.126703966,0.105616214,0.701276646,0.514524136,0.098606029,2.203356969,3.006251971,1.192411988,2.83714225,0.130867547,0.516360277,NA,0.212951244,0.668331708,0.400205319,0.295407449,0.089132013,0.03766728,0.043319425,0.062898081,0.290796565,0.257209272,0.016803913,0.967126924,NA,0.892792562,0.323310333,0.117952967,0.13518805,3.014769786,9.237805137,NA,0.113142631,0.15354359,NA,0.027659434,0.101081592,0.779207028,0.010318758,0.805355899,0.754932428,0.9383529,2.091085479,26.07067088,0.071594817,0.077035777,0.091754233,0.737887998,0.343774794,4.142597142,3.58898609,0.396582901,NA,NA,0.505363965,0.276658869,0.158614975,0.677506545,9.139140446,NA,NA,0.043413286,NA,,,,,
ST25,1.138857128,0.020141568,0.027434139,3.015483807,0.150516828,0.833158062,0.59229672,0.152750106,1.130830328,0.137335133,0.843773781,0.750121415,0.068623589,0.124088429,NA,0.089541451,0.205021817,0.074925717,0.025980979,0.107644771,0.163186092,0.030401646,0.060271741,0.459661414,0.051430407,0.029606232,0.121266238,NA,0.124551146,0.181411784,0.430288452,NA,0.127212724,1.757754332,NA,0.07302896,0.088176245,NA,NA,0.033912176,1.758668293,0.017590889,0.233312556,8.717195859,0.563975388,0.655727173,22.71222452,0.029502981,0.016956088,0.01853162,1.129224204,0.455022773,0.324578679,1.455611685,25.93899785,NA,NA,15.25831456,2.017001977,0.553042268,0.689161335,50.5156884,0.022034501,NA,NA,NA,,,,,
ST26,2.336069018,0.027786571,0.047532992,3.878321525,0.22744931,0.480411849,0.492428908,0.187858627,0.973928508,0.692569337,0.891702589,0.803951586,0.080384224,0.42856814,NA,0.17811491,0.374324472,0.107037001,0.020460078,0.099083181,0.136544405,0.037455468,0.058036408,0.245486409,0.042491353,0.017801131,0.240335419,NA,0.056079607,0.056050831,0.356552117,NA,0.138224952,5.523231254,NA,0.047895576,0.164958303,NA,NA,0.034790766,0.977444994,0.014324933,0.342618545,19.42057403,2.783762007,1.337076194,39.54717329,0.037570574,0.008005617,0.039653992,1.097684644,0.521078773,0.342054526,1.857222609,32.76653065,NA,0.15965192,15.09762709,2.085949595,0.475888186,0.642947172,44.46211576,0.027516072,NA,NA,NA,,,,,
ST27,1.034645764,0.029207928,0.141163558,1.119161288,0.112007434,0.221929744,0.684247761,0.098114161,2.063968632,0.809290459,1.356085147,0.871497744,0.179197648,0.095906001,NA,0.09598047,0.313111837,0.130611663,0.033268092,0.025889213,0.36164278,0.013057929,0.23995765,0.11982665,0.050518934,0.009467241,0.136297188,NA,0.209208543,0.093085903,1.444715878,0.013329901,0.224086099,3.925735257,NA,0.09385973,0.059477845,NA,NA,0.084110803,5.542198673,0.025814744,1.01661462,1.018754786,0.380425087,0.847055814,4.054598525,0.180489519,0.023195388,0.055715555,1.672878329,0.445669401,1.037070854,6.457895223,3.451168754,NA,NA,21.74646962,2.092888399,0.646802944,2.310774167,18.62116952,0.030354099,NA,0.122258215,NA,,,,,
ST37,0.029800711,0.009764158,0.223499074,0.354128486,0.047849382,0.127770267,0.826939062,0.028831806,2.252636323,0.058807771,3.012720945,5.69679285,0.276848931,0.215031796,NA,0.419613439,0.293956237,0.675920084,0.075394322,0.015066847,0.021576286,0.096016724,0.810750588,0.114999249,0.675511992,0.046958089,0.096940564,NA,0.354251164,0.594514546,0.113109008,0.099819739,2.748913424,1.660858244,NA,0.301950328,0.436390266,0.561874718,0.602804066,7.552931751,0.393590707,1.494421912,1.161018477,1.275359271,0.535100896,0.209689049,8.365407341,6.786057283,0.813482049,0.038025136,0.816423815,2.055590606,3.392411497,3.010472685,0.672640328,NA,3.099188824,NA,0.323837064,0.134184568,0.014173051,0.227802814,NA,NA,75.42140854,NA,,,,,
ST42,0.044737619,0.011496682,0.007017772,0.117259113,0.052736254,0.055990441,0.447714889,0.077775339,2.952387533,0.028843314,2.155561517,0.31593251,0.093534166,0.023115295,NA,0.113043031,0.05561923,0.120640649,0.009006592,NA,0.042559129,0.005497706,0.068039874,0.022080241,0.135082628,0.055014997,0.050660727,NA,0.194633437,0.338240355,0.212129094,0.046555737,1.010426404,1.613962928,NA,0.15199302,0.157991996,0.003522434,NA,0.169624156,0.387879576,0.132635891,0.911424337,5.282325782,1.498979849,0.383200158,6.743415081,1.660223322,0.069524715,0.004335303,0.674288672,2.533854654,0.283089879,1.287490212,1.03465533,NA,NA,0.26615781,2.561885098,0.129864007,0.012613023,0.081682531,NA,NA,1.042380298,NA,,,,,
ST43,0.037425319,0.012366463,0.00965667,0.101593014,0.044003168,0.064975784,0.618142687,0.081377308,3.189585881,0.014437866,2.188449168,1.195754298,0.11365779,0.018206257,NA,0.105199787,0.039003787,0.052520431,0.008872823,NA,0.113000544,NA,0.053263874,0.017842616,0.111543289,0.049789089,0.055467264,NA,0.125520544,0.165733772,0.403460239,0.039240827,0.943210163,3.056738658,NA,0.121221508,0.392459447,0.003932702,NA,0.13941699,1.068776499,0.079195466,0.97896543,3.255342819,0.770456786,0.462582762,4.736527801,1.679385098,0.039960027,0.006876842,0.732433481,1.660066371,0.368117098,2.070158332,0.748309746,NA,0.131031715,0.631632395,1.989723795,0.137825054,0.008487634,0.051003917,NA,NA,0.682105666,NA,,,,,
ST44,0.037037735,0.013130435,0.050677122,0.246112169,0.067534489,0.119560739,0.729307313,0.038755786,2.415267496,0.013235456,3.157716015,3.840207782,0.150240608,0.071727288,NA,0.10226982,0.078874165,0.186085402,0.043204408,0.009610853,0.061933319,0.003848111,1.142048897,0.148522557,0.29989417,0.042601205,0.065749116,NA,0.216759885,0.415345589,0.350205062,0.055804347,1.288489865,1.36012021,NA,0.160166527,0.427476969,0.037877911,NA,0.375703849,0.867906644,0.161302918,0.484878188,6.843002981,0.65921729,0.12982596,14.41439231,1.731262337,0.105436635,0.17646647,0.775061869,1.325279857,0.107962548,0.830998166,1.464245417,NA,0.113582567,0.18789501,2.336320624,0.124876465,0.004173949,0.048824428,NA,NA,0.534327361,NA,,,,,
ST49,0.035246518,0.008318105,NA,0.071776505,0.072555755,0.087902383,0.644766195,0.09758341,4.093632158,0.017491856,2.359288958,0.47584327,0.145643232,0.022130682,NA,0.119472677,1.775622024,0.790415539,0.009555736,NA,0.096165482,NA,0.048732115,0.133820033,0.773709044,0.066025339,0.03218147,NA,0.344388488,0.410245754,0.302159285,0.025562435,0.452407728,1.833439271,NA,0.063091695,0.0814667,NA,NA,0.116597094,0.703747731,0.14950892,1.398101687,2.880215623,2.316754167,0.58252709,4.230205538,1.414190895,0.080617165,0.004250729,0.736188951,4.117437461,0.395815889,2.048466254,0.871946412,NA,0.117736938,0.149038315,3.372102262,0.164024349,0.006243162,0.021051956,NA,NA,0.756883369,NA,,,,,
ST51,0.045392261,0.009441718,0.008333517,0.208009858,0.07588181,0.134044396,0.499798963,0.104995109,2.563202503,0.015558832,1.517976272,0.431638558,0.049581024,0.019115479,NA,0.175363916,1.048962911,0.407126097,0.011406076,NA,0.069076572,0.004004729,0.034962363,0.100706329,0.240847834,0.044304063,0.016855068,NA,0.082655043,0.155208248,0.297822204,0.026280783,0.582446005,1.453276496,NA,0.072641221,0.088484104,NA,NA,0.103274796,0.591367629,0.133904371,0.617524389,2.944043816,2.172111324,0.378648914,4.112936554,1.405175742,0.036762691,0.005833062,0.755901574,2.591003563,0.312604894,1.56032798,1.099876177,NA,0.076161861,0.090520475,4.187618147,0.160961295,NA,0.026252778,NA,NA,0.447429432,NA,,,,,
