Sample.ID,Date,Day,Rec_day,Rec_day_adj,Mouse,Cage,Desc,Type,Treatment,Aim,Cohort,Sac.group,Cluster,Panels,Notes,Run
HF2044,11/5/21,49,-3,-3,1951,6067918,Cec-L-DNA,cecal,RC-ABX,A1,C2,1,,TMS-MOX/SCFA,,April_2022
HF2582,11/19/21,49,-3,-3,1501,6072207,Cec-L-DNA,cecal,RC-ABX,A1,C3,1,,TMS-MOX/SCFA,,April_2022
HF2620,11/19/21,49,-3,-3,1544,6072209,Cec-L-DNA,cecal,RC-ABX,A1,C3,1,,TMS-MOX/SCFA,,April_2022
HF2753,12/6/21,66,14,14,1997,6072207,Cec-L-DNA,cecal,RC-ABX,A1,C3,3,,TMS-MOX/SCFA,,April_2022
HF2772,12/6/21,66,14,14,2000,6072207,Cec-L-DNA,cecal,RC-ABX,A1,C3,3,,TMS-MOX/SCFA,,April_2022
HF2829,12/6/21,66,14,14,1510,6072209,Cec-L-DNA,cecal,RC-ABX,A1,C3,3,,TMS-MOX/SCFA,,April_2022
HF2424,12/5/21,79,27,28,1953,6067918,Cec-L-DNA,cecal,RC-ABX,A1,C2,4,,TMS-MOX/SCFA,,April_2022
HF2981,12/20/21,80,28,28,1999,6072207,Cec-L-DNA,cecal,RC-ABX,A1,C3,4,,TMS-MOX/SCFA,,April_2022
HF3019,12/20/21,80,28,28,1507,6072209,Cec-L-DNA,cecal,RC-ABX,A1,C3,4,,TMS-MOX/SCFA,,April_2022
HF2120,11/5/21,49,-3,-3,1962,5893646,Cec-L-DNA,cecal,RC-PBS,A1,C2,1,,TMS-MOX,,April_2022
HF2525,11/19/21,49,-3,-3,1525,6072212,Cec-L-DNA,cecal,RC-PBS,A1,C3,1,,TMS-MOX,,April_2022
HF2563,11/19/21,49,-3,-3,1532,6072214,Cec-L-DNA,cecal,RC-PBS,A1,C3,1,,TMS-MOX,,April_2022
HF2462,12/5/21,79,27,28,1964,5893646,Cec-L-DNA,cecal,RC-PBS,A1,C2,4,,TMS-MOX,,April_2022
HF3114,12/20/21,80,28,28,1523,6072212,Cec-L-DNA,cecal,RC-PBS,A1,C3,4,,TMS-MOX,,April_2022
HF3171,12/20/21,80,28,28,1533,6072214,Cec-L-DNA,cecal,RC-PBS,A1,C3,4,,TMS-MOX,,April_2022
HF2025,11/5/21,49,-3,-3,1947,6067917,Cec-L-DNA,cecal,WD-ABX,A1,C2,1,,TMS-MOX/SCFA,,April_2022
HF2601,11/19/21,49,-3,-3,1998,6072208,Cec-L-DNA,cecal,WD-ABX,A1,C3,1,,TMS-MOX/SCFA,,April_2022
HF2639,11/19/21,49,-3,-3,1536,6072210,Cec-L-DNA,cecal,WD-ABX,A1,C3,1,,TMS-MOX/SCFA,,April_2022
HF2791,12/6/21,66,14,14,1506,6072208,Cec-L-DNA,cecal,WD-ABX,A1,C3,3,,TMS-MOX/SCFA,,April_2022
HF2810,12/6/21,66,14,14,1502,6072208,Cec-L-DNA,cecal,WD-ABX,A1,C3,3,,TMS-MOX/SCFA,,April_2022
HF2848,12/6/21,66,14,14,1515,6072210,Cec-L-DNA,cecal,WD-ABX,A1,C3,3,,TMS-MOX/SCFA,,April_2022
HF2405,12/5/21,79,27,28,1946,6067917,Cec-L-DNA,cecal,WD-ABX,A1,C2,4,,TMS-MOX/SCFA,,April_2022
HF3000,12/20/21,80,28,28,1516,6072208,Cec-L-DNA,cecal,WD-ABX,A1,C3,4,,TMS-MOX/SCFA,,April_2022
HF3057,12/20/21,80,28,28,1512,6072210,Cec-L-DNA,cecal,WD-ABX,A1,C3,4,,TMS-MOX/SCFA,,April_2022
HF2101,11/5/21,49,-3,-3,1959,5893645,Cec-L-DNA,cecal,WD-PBS,A1,C2,1,,TMS-MOX,,April_2022
HF2506,11/19/21,49,-3,-3,1518,6072211,Cec-L-DNA,cecal,WD-PBS,A1,C3,1,,TMS-MOX,,April_2022
