KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00003,236.1860868,0.053179769,0.220640062,0.241024991,0.809535748,1
K00004,10.25640369,1.249473428,1.431452486,0.872871045,0.38273337,0.775329047
K00005,26.0864701,1.040504439,0.682200305,1.525218371,0.12720464,0.477779442
K00008,31.05695416,-0.451044139,0.549143052,-0.821360003,0.411441239,0.795258527
K00009,79.98419707,-0.123649879,0.572091065,-0.216136707,0.828881187,1
K00010,49.74067249,-0.371372811,0.872240584,-0.425768782,0.670276337,0.967356001
K00012,309.1274799,0.098759945,0.283752861,0.348049159,0.727803265,0.994617035
K00013,193.8834438,0.240457243,0.185726472,1.294684818,0.195428979,0.582551369
K00014,295.3489271,-0.138213613,0.585919377,-0.235891863,NA,NA
K00016,274.4534769,0.659985869,0.170847326,3.863015503,0.000111996,0.006936958
K00018,139.184888,-0.918235014,0.739606744,-1.241517903,NA,NA
K00020,36.04881371,-1.169603716,0.831895268,-1.405950678,0.159738771,0.530904143
K00024,144.8594097,-0.392423399,0.69848483,-0.561820933,0.574238028,0.916736385
K00027,163.8844893,0.180563532,0.69756878,0.258846923,0.795753352,1
K00029,172.4365005,-0.241910473,0.331409465,-0.72994437,0.46542419,0.839656952
K00030,16.44550719,1.249251947,0.666215578,1.875146706,0.060772544,0.331562207
K00031,127.4662142,0.160947402,0.80004494,0.201172952,0.84056334,1
K00033,114.2720885,0.7292577,0.372202542,1.959303382,0.050077268,0.302834129
K00034,7.32855616,0,4.98008961,0,1,1
K00036,94.51645709,0.51672502,0.425022634,1.215758832,0.224076806,0.617916476
K00038,21.56371819,1.665554861,0.597237175,2.788766224,0.005290924,0.078651993
K00041,117.4614024,0.376776152,0.737200556,0.511090434,0.609287734,0.938849701
K00042,6.065640877,-0.071795441,0.794530033,-0.090362149,0.927999435,1
K00045,1.438749009,-3.795600745,1.431639614,-2.651226403,0.008020006,0.099956661
K00046,138.6979358,-0.137499711,0.750088051,-0.183311427,0.854553669,1
K00048,74.95791515,-0.054363653,0.934344573,-0.05818373,0.95360228,1
K00052,217.9509138,0.28068855,0.643723251,0.436039167,NA,NA
K00053,237.2098921,0.129271621,0.619422984,0.208696842,0.834684906,1
K00054,81.93265834,0.557813973,0.607043655,0.918902568,0.358146536,0.750881305
K00055,4.61017288,1.359820479,1.361714747,0.99860891,0.317984182,0.716060515
K00057,364.3662717,-0.030321155,0.104252017,-0.290844781,0.771170035,1
K00058,140.1902932,0.817668154,0.706966554,1.156586757,0.247441235,0.647178356
K00059,441.3526382,-0.321247879,0.582408402,-0.551585241,NA,NA
K00060,13.08979827,1.303122716,0.643875998,2.023872175,0.042983306,0.278471875
K00065,16.06129158,1.625573141,0.531239111,3.059965104,0.002213628,0.044359365
K00066,1.216006546,-2.146816148,1.755157805,-1.223147083,0.221274148,0.614889769
K00067,370.2921782,0.095503096,0.558329998,0.171051343,0.864183395,1
K00068,12.36974582,-0.418341226,0.811019811,-0.515821217,0.605979283,0.937284642
K00073,33.85740527,-0.264669213,1.171833226,-0.225859113,0.821310999,1
K00074,36.30783965,0.168968218,0.48293184,0.349880054,0.726428717,0.994209959
K00075,376.2787713,0.196926471,0.073305696,2.686373394,0.007223232,0.094286718
K00076,48.63094412,0.487679325,0.949943914,0.513376966,0.607687655,0.938506662
K00077,152.1253365,1.165930131,0.485129571,2.403337584,0.016246182,0.149956933
K00078,45.72249277,0.639431534,0.726446648,0.880218163,0.378741136,0.77221634
K00087,9.2206191,0.074069789,0.730563436,0.10138721,0.919243089,1
K00088,378.1670062,-0.130375762,0.080441578,-1.620750919,0.105071068,0.435187971
K00090,4.668792716,0,4.98008961,0,1,1
K00091,13.18991799,-2.115728085,0.773754279,-2.734366894,0.006250036,0.086905262
K00096,36.07249501,-0.051036112,0.656870003,-0.077695909,0.938069949,1
K00097,134.6252301,-0.661630593,0.928168485,-0.712834581,0.475948124,0.844449214
K00099,291.4447147,-0.085298724,0.149927892,-0.568931661,0.569402518,0.913980594
K00100,13.36015407,-2.085054004,1.285237756,-1.622309953,0.104736999,0.43485161
K00104,30.96876595,2.241392964,0.73340627,3.056140991,0.002242058,0.044611988
K00105,3.52827062,-0.264158195,3.668831127,-0.072000641,NA,NA
K00108,7.762862459,0,4.98008961,0,1,1
K00111,184.9516985,-0.054754597,0.501791601,-0.109118201,0.913108739,1
K00112,86.56282646,-0.530420374,0.715713066,-0.741107574,0.458628218,0.835254777
K00113,86.08028898,-0.64159224,0.907450214,-0.707027482,0.479549399,0.845982435
K00116,24.29895707,-2.135342666,2.128168788,-1.003370916,0.315681931,0.715359055
K00121,11.21035003,0,4.98008961,0,1,1
K00123,7.965485714,0.06261303,1.382776779,0.045280649,0.963883611,1
K00124,5.463092935,-1.550548311,0.963422839,-1.609416186,0.107525368,0.440444595
K00125,11.19006151,-0.683183967,0.654831214,-1.043297802,0.296810389,0.700554774
K00127,0.962197216,-3.30784179,2.197858888,-1.505029194,0.132316571,0.487390684
K00128,6.928410214,-0.820203392,4.675970269,-0.175408171,0.860758921,1
K00130,7.219979585,0,4.98008961,0,1,1
K00132,6.929270026,-0.997131999,1.17907221,-0.845692054,NA,NA
K00133,364.3348017,-0.035052538,0.09726915,-0.360366444,0.718573117,0.991830209
K00134,426.6494,-0.129182386,0.077385382,-1.669338359,0.095050342,0.415578395
K00135,18.38080228,-1.397498119,4.922360171,-0.28390814,0.776480778,1
K00138,14.1261105,-0.593350014,4.149755871,-0.142984318,0.886302566,1
K00140,14.96046274,0.313431534,0.599714881,0.522634246,0.601228804,0.935805327
K00145,264.9342719,-0.073893542,0.673055915,-0.109788118,NA,NA
K00147,183.669971,0.660010565,0.244396656,2.700571179,0.006922052,0.093390594
K00148,3.084396779,-0.264199891,4.98008961,-0.053051232,0.957691088,1
K00150,2.836101003,-1.717721766,1.189756163,-1.443759503,0.148806637,0.521114399
K00154,5.537405314,0,4.98008961,0,1,1
K00156,3.829629969,2.485559423,0.983728134,2.526673108,0.011514863,0.123550546
K00158,26.83199774,-0.146352914,1.108756212,-0.131997379,0.894986365,1
K00161,16.59484146,-1.528293305,1.086175688,-1.407040611,0.159415347,0.53086589
K00162,1.13146685,1.100669762,1.380432473,0.79733691,0.425255389,0.809109193
K00163,5.564368139,0,4.98008961,0,1,1
K00164,7.515799101,4.593949413,1.581469413,2.904861375,0.003674158,0.06206594
K00167,8.564678251,0.0762631,2.823605445,0.027009121,0.978452459,1
K00169,60.96422551,-0.17197563,0.576937403,-0.29808369,0.76563929,1
K00170,40.20824352,-0.298788906,0.558289313,-0.535186505,0.592520897,0.930551451
K00171,40.00555094,-0.204944757,0.581427109,-0.352485727,0.724474021,0.994209959
K00172,59.84600297,-0.267301326,0.57464532,-0.465158798,0.641817742,0.954359327
K00174,340.4158873,-0.705762575,0.456806265,-1.544993204,0.122347907,0.469139499
K00175,324.7242687,-0.741928611,0.523835789,-1.416338146,0.156676524,0.527396376
K00176,183.2507367,-0.758976678,0.391815581,-1.937076306,0.052736016,0.310640973
K00177,167.9330907,-0.558840791,0.401084569,-1.393324086,0.16352181,0.537219961
K00179,123.3758675,-0.608810537,0.251006312,-2.425478992,0.015288201,0.146491827
K00180,131.2549631,-0.698243515,0.253928423,-2.749765098,0.0059638,0.084652828
K00184,9.87884269,1.136471133,0.606204723,1.874731571,0.060829661,0.331562207
K00185,7.995096146,0.951685603,0.631433782,1.507181958,0.131764023,0.486586566
K00194,9.972765496,0.062967979,0.835920931,0.075327674,0.939954004,1
K00196,1.4173587,-2.311501352,1.58015787,-1.462829377,0.143514073,0.508833936
K00197,9.601150835,0.025102137,0.831660951,0.030183137,0.975920997,1
K00198,21.79971181,0.241043943,0.754081871,0.319652219,0.749231985,1
K00208,97.71407283,0.137500533,0.592062068,0.232240065,0.816351561,1
K00209,8.832086311,-1.369625435,0.845913753,-1.619107658,0.105424101,0.435395719
K00215,361.2866069,-0.079894628,0.102600144,-0.778698978,0.436157058,0.816770524
K00219,13.56469021,-0.054673751,0.838494507,-0.065204662,0.948011049,1
K00226,10.06082415,-1.706290004,1.291026189,-1.321654059,0.186283373,0.568058004
K00228,8.713088808,0,4.98008961,0,1,1
K00230,5.619322797,-2.597694159,1.021025487,-2.544201091,0.010952801,0.120687467
K00231,9.960221694,-2.314427397,1.447728611,-1.598661088,0.109895928,0.444365784
K00239,185.1567603,-0.401898632,0.328165486,-1.224682817,0.220694751,0.614805829
K00240,196.6187004,-0.445253902,0.332047245,-1.340935393,0.17994143,0.559441395
K00241,182.211466,-0.606829682,0.710249403,-0.854389569,0.392889174,0.782757258
K00242,6.134213838,0,4.98008961,0,1,1
K00243,208.7007043,-0.345879775,0.17843309,-1.938428433,0.052570974,0.310563791
K00244,107.6043155,-0.050670668,0.472298927,-0.107285164,0.914562754,1
K00245,1.477669165,-3.348441222,1.514933742,-2.210288893,0.027085119,0.206574564
