KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00009,79.98419707,2.604964745,0.874214182,2.979778637,0.002884568,0.009313752
K00041,117.4614024,-8.068736845,2.341779292,-3.445558202,0.000569881,0.00263872
K00046,138.6979358,-8.448661055,2.351731063,-3.59252858,0.000327485,0.001700769
K00048,74.95791515,-7.290255632,2.505540063,-2.909654385,0.003618286,0.011119538
K00054,81.93265834,2.315237543,0.946104892,2.447125644,0.014400063,0.03339839
K00067,370.2921782,-6.393817564,1.342188394,-4.763725863,1.90E-06,2.81E-05
K00077,152.1253365,2.302646367,0.760076835,3.029491574,0.002449657,0.008173631
K00112,86.56282646,-7.860243806,2.322767982,-3.38399869,0.000714383,0.003107148
K00113,86.08028898,-7.839497839,2.481335353,-3.15938667,0.001581016,0.005787144
K00169,60.96422551,-7.144557509,2.224152505,-3.212260622,0.001316948,0.005014169
K00172,59.84600297,-7.16012351,2.222354842,-3.221863302,0.001273599,0.004895679
K00176,183.2507367,-8.987824512,2.127555583,-4.224483997,2.39E-05,0.000211045
K00177,167.9330907,-8.871132395,2.131914543,-4.161110691,3.17E-05,0.000263706
K00179,123.3758675,-8.288159674,2.073181969,-3.997796527,6.39E-05,0.000460755
K00180,131.2549631,-8.38471406,2.0741115,-4.042557047,5.29E-05,0.000396482
K00244,107.6043155,-5.090876302,1.614150937,-3.153903507,0.001611023,0.005867935
K00248,113.1880468,-7.916711103,2.131068769,-3.714901753,0.000203283,0.001139657
K00290,187.868492,-8.983324922,2.104091568,-4.269455311,1.96E-05,0.000180656
K00335,56.43877859,-7.084431411,2.174057671,-3.258621657,0.001119549,0.00443238
K00346,132.7411815,-8.557401622,2.302559937,-3.716472907,0.000202023,0.001135076
K00347,134.6954919,-8.574352359,2.311229053,-3.709866985,0.000207368,0.001158067
K00348,138.7732035,-8.579700352,2.310092987,-3.714006492,0.000204004,0.001141
K00349,140.3774577,-6.181720704,1.792584045,-3.448497001,0.000563716,0.002614877
K00350,139.5596756,-8.611168312,2.303232663,-3.738731414,0.000184951,0.001055192
K00351,133.0286798,-8.509809707,2.274167463,-3.741945061,0.000182601,0.001045012
K00364,80.38379909,2.190366305,0.87883468,2.492353063,0.012689982,0.030054366
K00390,53.58139858,2.58989053,0.598857955,4.324715917,1.53E-05,0.000146659
K00526,111.7921848,2.379199328,0.74492877,3.193861511,0.001403834,0.005295894
K00547,58.04848508,-5.811700106,2.366484672,-2.455836784,0.014055698,0.032702275
