KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00003,281.8378753,-0.127383311,0.148218379,-0.859429928,0.390103364,0.574200391
K00004,77.76890922,-6.532874084,1.084822841,-6.02206539,1.72E-09,6.79E-08
K00005,44.3587501,-0.376439755,0.930848883,-0.404404798,0.685915072,0.834590494
K00008,27.85812423,-0.915024695,0.918902065,-0.995780431,0.31935684,0.502250689
K00009,167.6593868,-2.426439301,0.408036645,-5.946621053,2.74E-09,1.04E-07
K00010,90.00188981,-0.782515565,0.706713025,-1.107260708,0.268181227,0.443561072
K00012,278.9761912,0.165647016,0.938709836,0.176462427,0.859930664,0.967180339
K00013,243.0363289,0.111405707,0.303153184,0.367489813,0.713253689,0.855897711
K00014,363.6416987,0.191704861,0.136994942,1.399357216,0.16170589,0.304318795
K00016,482.6746382,-0.285287291,0.204442424,-1.39544076,0.162882967,0.306091428
K00018,108.9735907,0.1187287,0.817586016,0.145218603,0.884538278,0.981005958
K00019,0.977084227,0,4.3365394,0,1,NA
K00020,169.1346173,-2.270895251,0.350596341,-6.477236027,9.34E-11,4.80E-09
K00024,113.7680176,0.926311494,1.105072189,0.838236183,0.401898069,0.585761524
K00027,173.3520089,-0.310700357,0.68934048,-0.450721184,0.652190512,0.806972101
K00029,163.0800343,0.619683075,0.293079294,2.11438709,0.034482219,0.096722095
K00030,19.05372971,0.666341976,0.635378974,1.04873155,0.294301689,0.475879129
K00031,207.7975769,-0.607585619,0.284097193,-2.138654073,0.032463695,0.092668661
K00033,338.0041882,-0.713504448,0.311857605,-2.287917421,0.022142331,0.069007024
K00034,27.40060465,0,2.564600537,0,1,1
K00036,190.3132846,-0.763106948,0.323606556,-2.358131918,0.018367165,0.059869598
K00038,2.851466893,1.508984515,2.164077841,0.69728754,0.485622864,0.663525991
K00041,74.27084354,0.805829418,0.738417606,1.09129226,0.275144303,0.452395159
K00042,4.294569161,-0.9997171,0.942609928,-1.060584098,0.288878953,0.469834365
K00045,6.419088747,-2.357655979,0.821991557,-2.868224083,0.004127831,0.018421918
K00046,141.9321613,0.716184616,0.818761771,0.874716727,0.381728056,0.567085508
K00048,46.49361852,1.196997301,1.017568852,1.176330523,0.239462823,0.408462342
K00052,252.4125035,0.231043664,0.306479728,0.753862794,0.450931613,0.631595391
K00053,281.2246743,0.078119346,0.292129598,0.267413319,0.789150945,0.913526379
K00054,118.7122126,-1.231723828,0.431457936,-2.854794701,0.004306466,0.019060705
K00057,358.1829767,0.524507012,0.129499365,4.05026704,5.12E-05,0.000585856
K00058,170.1330341,-0.58419384,0.812207491,-0.719266747,0.471976581,0.65149118
K00059,518.7298562,-0.111062344,0.200546946,-0.553797236,0.57971762,0.744670166
K00060,28.31689995,-2.567730502,1.378919183,-1.8621327,NA,NA
K00065,31.13964727,-1.437832578,0.984116678,-1.461038727,0.144004814,0.279770546
K00067,494.8586866,0.260009076,0.132333422,1.964802787,0.049437067,0.126924227
K00068,37.67662251,-1.649731598,1.047135533,-1.575470936,0.115147782,0.238448204
