KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00004,77.76890922,2.799009676,0.406422655,6.886943045,5.70E-12,3.70E-11
K00009,167.6593868,2.101127365,0.39204989,5.359336707,8.35E-08,2.12E-07
K00010,90.00188981,-8.470383157,1.402453096,-6.039690868,1.54E-09,5.31E-09
K00012,278.9761912,-11.44335996,1.566476284,-7.305160048,2.77E-13,2.51E-12
K00018,108.9735907,-10.25169334,1.481061866,-6.921853552,4.46E-12,3.05E-11
K00020,169.1346173,2.025767036,0.329313751,6.151480252,7.68E-10,2.83E-09
K00024,113.7680176,-23.85610831,1.692439522,-14.09569323,4.04E-45,1.37E-42
K00027,173.3520089,-10.6847188,1.399791894,-7.633076637,2.29E-14,2.83E-13
K00041,74.27084354,-9.355195855,1.429425072,-6.544726295,5.96E-11,2.85E-10
K00046,141.9321613,-10.08484962,1.482164519,-6.804136442,1.02E-11,6.10E-11
K00054,118.7122126,2.103830455,0.439381235,4.788166378,1.68E-06,3.52E-06
K00058,170.1330341,-10.55714341,1.477087226,-7.147271487,8.85E-13,7.31E-12
K00074,55.51797617,-9.314131577,1.505245815,-6.18778108,6.10E-10,2.29E-09
K00078,56.68948534,-7.875079627,1.460928023,-5.390463802,7.03E-08,1.81E-07
K00091,100.5347059,2.161821247,0.472082243,4.579331838,4.66E-06,9.15E-06
K00097,90.31343648,-9.586434914,1.293109637,-7.413474187,1.23E-13,1.25E-12
K00099,239.172832,-11.16565367,1.380567619,-8.087726757,6.08E-16,1.16E-14
K00104,57.05777809,-8.407739134,1.606879742,-5.232338746,1.67E-07,4.05E-07
K00105,104.2815686,2.994904614,0.444738322,6.734082645,1.65E-11,9.49E-11
K00112,50.93320008,-8.428094032,1.187444143,-7.097676197,1.27E-12,1.01E-11
K00158,128.2167402,2.463790426,0.402672305,6.118599163,9.44E-10,3.39E-09
K00174,230.2057776,-11.01851716,1.440282157,-7.650249016,2.01E-14,2.52E-13
K00175,205.3729959,-10.66122822,1.517513922,-7.025456618,2.13E-12,1.61E-11
K00176,139.5555201,-10.40736182,1.327628468,-7.839061961,4.54E-15,6.73E-14
K00177,112.7466033,-10.14669913,1.416943052,-7.160978781,8.01E-13,6.70E-12
K00179,106.8762731,-10.48116585,1.481519824,-7.074603851,1.50E-12,1.18E-11
K00180,113.8165705,-10.5535866,1.470079297,-7.178923354,7.03E-13,5.94E-12
K00230,86.05545917,2.557846921,0.380047431,6.730336043,1.69E-11,9.71E-11
K00239,139.5916961,-24.04158586,1.662639555,-14.45989047,2.17E-47,1.47E-44
K00240,143.9137797,-24.10997738,1.672888008,-14.41218854,4.34E-47,2.52E-44
K00241,133.0455283,-23.98048125,1.714005128,-13.99090403,1.77E-44,4.00E-42
K00248,135.8320579,-9.593049741,1.590037326,-6.033222984,1.61E-09,5.50E-09
K00249,166.6942649,-9.987774091,1.413005183,-7.06846246,1.57E-12,1.22E-11
K00259,71.87623722,-9.589416244,1.721388363,-5.570745365,2.54E-08,7.14E-08
K00262,380.4851022,-10.80288271,1.291922375,-8.361866719,6.17E-17,1.39E-15
K00278,165.1298057,-10.51309891,1.458247348,-7.209407184,5.62E-13,4.80E-12
K00282,75.90664108,-9.157900256,1.246714434,-7.345627844,2.05E-13,1.95E-12
K00283,78.31213829,-9.340107889,1.203530061,-7.760593766,8.45E-15,1.18E-13
K00290,139.3707651,-10.13786085,1.599548703,-6.337950718,2.33E-10,9.75E-10
K00298,170.7835262,2.778492175,0.422186639,6.581193997,4.67E-11,2.30E-10
K00330,115.5189253,-23.62245877,1.76619952,-13.37473966,8.50E-41,9.09E-39
K00331,102.668821,-23.52456896,1.768314438,-13.30338567,2.21E-40,2.25E-38
K00334,79.28425131,-9.813275244,1.553771303,-6.315778408,2.69E-10,1.11E-09
K00335,74.41090333,-9.821588616,1.54082701,-6.37423186,1.84E-10,7.94E-10
K00337,109.637335,-23.58023718,1.786284978,-13.20071403,8.69E-40,8.03E-38
K00338,84.67505707,-23.28807811,1.773789535,-13.12899735,2.25E-39,1.86E-37
K00340,108.6984451,-23.54383339,1.673390651,-14.06953803,5.84E-45,1.83E-42
K00343,108.1063803,-23.61127271,1.711809404,-13.79316684,2.80E-43,4.22E-41
K00346,83.04381633,-9.444110909,1.345027772,-7.021498815,2.20E-12,1.65E-11
K00347,80.66911808,-9.431306474,1.205226259,-7.825341011,5.06E-15,7.38E-14
K00348,84.54491336,-9.423868585,1.289259459,-7.309520607,2.68E-13,2.44E-12
K00349,82.71028091,-9.41310104,1.259988712,-7.47078204,7.97E-14,8.54E-13
K00350,82.03580594,-9.368589282,1.32104064,-7.091825187,1.32E-12,1.05E-11
K00351,71.45558916,-9.066358889,1.339556752,-6.768178259,1.30E-11,7.65E-11
K00364,114.1833961,2.090432455,0.440644566,4.744033205,2.10E-06,4.31E-06
K00432,86.04943085,2.605655256,0.3210115,8.117015306,4.78E-16,9.43E-15
K00548,219.7674352,-11.1390303,1.424556179,-7.819298717,5.31E-15,7.66E-14
K00549,251.0859671,2.013748647,0.314032254,6.412553561,1.43E-10,6.28E-10
K00567,200.2104574,-10.8246966,1.474366255,-7.34193187,2.11E-13,1.99E-12
K00571,204.8686959,-10.9448615,1.661027011,-6.589213438,4.42E-11,2.20E-10
K00575,99.52260685,-10.51409224,1.584175884,-6.636947545,3.20E-11,1.67E-10
K00595,56.92676309,-9.526581087,1.367599273,-6.965915583,3.26E-12,2.32E-11
K00598,50.81049088,-8.293077239,1.62956746,-5.089127907,3.60E-07,8.31E-07
K00605,124.5056755,-23.70848932,1.832501456,-12.93777379,2.75E-38,2.00E-36
K00606,138.3977886,-10.14150212,1.61525482,-6.278577224,3.42E-10,1.37E-09
K00610,132.1492966,-10.54430637,1.329322511,-7.932090433,2.15E-15,3.52E-14
K00625,121.6630902,2.632384983,0.42451625,6.200905111,5.61E-10,2.13E-09
K00627,165.1217026,2.682743182,0.35754722,7.503185685,6.23E-14,6.81E-13
K00639,76.45143521,-23.27043662,1.825301531,-12.74881778,3.17E-37,2.11E-35
K00652,132.8893245,-24.22326933,1.709567845,-14.16923546,1.42E-45,6.88E-43
K00662,76.54476606,-8.680441173,1.553787142,-5.586634705,2.32E-08,6.56E-08
K00677,217.2906957,-24.74874094,1.768356222,-13.99533682,1.66E-44,3.98E-42
K00682,74.49324676,-9.957961477,1.562597642,-6.37269711,1.86E-10,7.99E-10
K00683,119.149757,-23.56531177,1.826961909,-12.89863333,4.58E-38,3.21E-36
K00687,109.9071805,2.958773578,0.365816771,8.088129929,6.06E-16,1.16E-14
K00721,109.4044834,-9.826556336,1.215269016,-8.085910369,6.17E-16,1.17E-14
K00748,130.7777544,-23.95943055,1.749337549,-13.69628781,1.07E-42,1.50E-40
K00757,159.0740273,-10.68021977,1.677986913,-6.364900517,1.95E-10,8.35E-10
K00767,155.6001646,-10.47907756,1.517595801,-6.905051761,5.02E-12,3.34E-11
K00768,93.05491441,-9.820994787,1.509867355,-6.504541443,7.79E-11,3.63E-10
K00798,226.269063,-10.51318677,1.360774971,-7.725881938,1.11E-14,1.49E-13
K00821,146.0610205,-10.26525709,1.46495031,-7.0072391,2.43E-12,1.81E-11
K00833,127.6692356,-10.07617916,1.593883639,-6.321778398,2.59E-10,1.07E-09
K00841,160.2389934,2.415436403,0.379228076,6.369350153,1.90E-10,8.16E-10
K00847,211.0759368,-10.89998035,1.469283375,-7.418569173,1.18E-13,1.22E-12
K00848,144.3309515,-10.50943024,1.413275261,-7.43622317,1.04E-13,1.08E-12
K00864,230.4509697,-7.276736248,0.737527465,-9.866393588,5.82E-23,2.13E-21
K00867,119.0712802,2.060539611,0.465563263,4.425906796,9.60E-06,1.80E-05
K00868,105.5249605,-10.6060747,1.404118038,-7.553549214,4.24E-14,4.81E-13
K00869,141.2753192,2.324077612,0.426681353,5.446869418,5.13E-08,1.36E-07
K00882,120.2306752,-8.706406886,1.339572608,-6.499391548,8.06E-11,3.75E-10
K00887,111.8582441,2.215647741,0.433506309,5.110993071,3.20E-07,7.43E-07
K00895,123.3268532,-9.992077711,1.551404371,-6.440666211,1.19E-10,5.35E-10
K00912,126.9201728,-23.80464084,1.718384072,-13.85292219,1.22E-43,2.16E-41
K00917,321.5687725,2.495952757,0.373149868,6.688874826,2.25E-11,1.23E-10
K00919,302.0724917,-9.43035688,1.137077899,-8.293501168,1.10E-16,2.39E-15
K00928,70.15005517,-9.657558025,1.54717238,-6.242069822,4.32E-10,1.69E-09
K00929,111.9304107,-10.15877088,1.419991095,-7.154108866,8.42E-13,7.02E-12
K00937,142.0008238,-10.52716802,1.379491459,-7.631194774,2.33E-14,2.86E-13
K00938,136.6232279,2.428381245,0.397352551,6.111402172,9.88E-10,3.53E-09
K00940,146.9823241,-9.776296975,1.393689011,-7.014690436,2.30E-12,1.72E-11
K00946,128.6113562,-24.1437021,1.772677023,-13.61991033,3.05E-42,3.65E-40
K00956,51.22732071,-9.090102191,1.66361259,-5.464073937,4.65E-08,1.24E-07
K00957,50.32870504,-9.056057245,1.586683201,-5.707539628,1.15E-08,3.45E-08
K00970,170.3973375,-10.66347603,1.464864244,-7.279497787,3.35E-13,2.98E-12
K00978,91.35415511,-10.26367625,1.334970466,-7.688317089,1.49E-14,1.91E-13
