KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00003,236.1860868,-0.664727558,0.377275863,-1.761913825,0.078083858,0.184937062
K00004,10.25640369,-7.397570207,1.714229344,-4.315391189,1.59E-05,7.90E-05
K00005,26.0864701,-1.59707548,1.168776775,-1.36645039,0.171797642,0.366283669
K00008,31.05695416,-4.245673264,1.789476106,-2.372578908,0.01766439,0.05442104
K00009,79.98419707,0.671330184,0.945361544,0.710130625,0.477623136,0.74916111
K00010,49.74067249,-3.593944027,1.46808525,-2.448048591,0.014363228,0.045658517
K00012,309.1274799,-10.01431114,1.276197319,-7.846992773,4.26E-15,1.38E-13
K00013,193.8834438,-7.311927694,0.579068516,-12.62705102,1.50E-36,5.03E-34
K00014,295.3489271,-4.559571651,1.013353722,-4.499486754,NA,NA
K00016,274.4534769,1.010364268,0.326604993,3.093535887,0.001977866,0.007261342
K00018,139.184888,-3.03461735,1.277450396,-2.375526564,NA,NA
K00020,36.04881371,-3.944329972,1.369365799,-2.880406372,0.003971629,0.014077768
K00024,144.8594097,-8.616296513,1.431422027,-6.019396343,1.75E-09,1.75E-08
K00027,163.8844893,-2.911096191,1.202512428,-2.420844995,0.015484478,0.048803168
K00029,172.4365005,0.998291135,0.585349773,1.705460872,0.088108504,0.205772039
K00030,16.44550719,0,2.597744555,0,1,1
K00031,127.4662142,-2.714505612,1.375147142,-1.973974661,0.048384624,0.123183534
K00033,114.2720885,0.89303588,0.646234491,1.381906865,0.1670003,0.35832856
K00034,7.32855616,-8.508730296,8.225733131,-1.034403884,0.30094739,0.519179888
K00036,94.51645709,1.066000694,0.733486632,1.4533335,0.14613118,0.319862033
K00038,21.56371819,-5.975939216,1.039990922,-5.746145555,9.13E-09,7.43E-08
K00041,117.4614024,5.126155836,2.400019323,2.135881068,0.032689109,0.090187788
K00042,6.065640877,0,2.627193942,0,1,1
K00045,1.438749009,0,2.682663537,0,1,NA
K00046,138.6979358,5.300788483,2.410845061,2.198726318,0.027897388,0.079827125
K00048,74.95791515,6.169799857,2.584971401,2.386796177,0.016995911,0.052632378
K00052,217.9509138,-4.09960022,1.111314169,-3.688966032,NA,NA
K00053,237.2098921,-4.038572964,1.072021744,-3.767249114,0.000165056,0.000698984
K00054,81.93265834,0.489623756,1.025258652,0.477561204,0.632962549,0.948545823
K00055,4.61017288,0,3.252112637,0,1,1
K00057,364.3662717,-0.085318461,0.210087519,-0.406109135,0.684662414,1
K00058,140.1902932,-4.101074932,1.211274285,-3.385752496,0.000709834,0.00273645
K00059,441.3526382,-4.791553189,1.004932438,-4.768035152,NA,NA
K00060,13.08979827,0,2.574305694,0,1,1
K00065,16.06129158,0,2.503885284,0,1,1
K00066,1.216006546,0,3.165877142,0,1,NA
K00067,370.2921782,1.952638724,1.40340641,1.391356566,0.164117328,0.353167499
K00068,12.36974582,-8.510014571,1.515532278,-5.615198499,1.96E-08,1.52E-07
K00073,33.85740527,-4.551931498,1.844623663,-2.467674891,0.013599377,0.043492125
K00074,36.30783965,-4.208115836,2.020807247,-2.08239348,0.037306543,0.099943689
K00075,376.2787713,-0.318090542,0.162193035,-1.961184964,0.04985745,0.126248626
K00076,48.63094412,0,2.852236359,0,1,1
K00077,152.1253365,-4.152178577,0.835290002,-4.970942506,6.66E-07,3.93E-06
K00078,45.72249277,0,2.653830585,0,1,1
K00087,9.2206191,0,2.611245502,0,1,1
K00088,378.1670062,0.278733178,0.188073544,1.482043522,0.138328715,0.304224426
K00090,4.668792716,-9.633909397,8.248281989,-1.16798982,0.242810871,0.458229602
K00091,13.18991799,0,2.618575193,0,1,1
K00096,36.07249501,0,2.59371158,0,1,1
K00097,134.6252301,-9.936018886,1.977769439,-5.023850955,5.06E-07,3.04E-06
K00099,291.4447147,-7.764525983,0.648323215,-11.97631954,4.73E-33,8.32E-31
K00100,13.36015407,6.959318721,2.814226009,2.472906831,0.013401908,0.042972119
K00104,30.96876595,-7.213440913,1.362149773,-5.295629789,1.19E-07,7.86E-07
K00105,3.52827062,5.773498382,6.147445665,0.939170299,NA,NA
K00108,7.762862459,-8.592384062,8.225626737,-1.044587159,0.296213817,0.512944544
K00111,184.9516985,-0.967644972,0.865274479,-1.118309849,0.263434682,0.483219791
K00112,86.56282646,0,2.647357005,0,1,1
K00113,86.08028898,0,2.812704881,0,1,1
K00116,24.29895707,-6.72834585,2.892765232,-2.325921846,0.02002272,0.060975286
K00121,11.21035003,-9.925427275,8.246141213,-1.203645077,0.228726789,0.451572667
K00123,7.965485714,-7.916243675,1.943132024,-4.073960789,4.62E-05,0.000213063
K00124,5.463092935,0,2.674086912,0,1,1
K00125,11.19006151,0,2.549675814,0,1,1
K00127,0.962197216,0,3.894783666,0,1,NA
K00128,6.928410214,-7.259338809,7.659439568,-0.947763703,0.343249762,0.567782717
K00130,7.219979585,-8.487036304,8.225761744,-1.031762962,0.302183174,0.520098321
K00132,6.929270026,5.479259501,2.713597506,2.019186519,NA,NA
K00133,364.3348017,-0.408540595,0.195563324,-2.089045056,0.036703668,0.098614432
K00134,426.6494,-1.013122303,0.145932351,-6.942410608,3.85E-12,6.17E-11
K00135,18.38080228,-6.965069145,8.076739887,-0.862361453,0.388488646,0.626285499
K00138,14.1261105,-7.138069465,6.694539461,-1.066252504,0.286309514,0.502648684
K00140,14.96046274,-7.992268994,1.204890722,-6.633189922,3.29E-11,4.43E-10
K00145,264.9342719,-3.445925747,1.160692604,-2.968853024,NA,NA
K00147,183.669971,0.59701186,0.433326697,1.377740776,0.168283337,0.360036746
K00148,3.084396779,-5.150169241,8.183953528,-0.62930089,0.529152089,NA
K00150,2.836101003,0,2.741827299,0,1,NA
K00154,5.537405314,-9.880057754,8.247821676,-1.19789905,0.230956319,0.452728268
K00156,3.829629969,0,2.829191544,0,1,1
K00158,26.83199774,-2.985086445,1.873663624,-1.593181618,0.111119454,0.251556805
K00161,16.59484146,-7.170569506,1.187403893,-6.038863062,1.55E-09,1.57E-08
K00162,1.13146685,0,3.061949921,0,1,NA
K00163,5.564368139,-8.911402548,8.247390535,-1.08051177,0.279914348,0.498239454
K00164,7.515799101,-9.793039612,2.739282565,-3.575038127,0.000350177,0.001411782
K00167,8.564678251,-7.069547458,4.254485466,-1.661669199,0.09657912,0.223437426
K00169,60.96422551,0,2.544682643,0,1,1
K00170,40.20824352,0,2.527542219,0,1,1
K00171,40.00555094,-4.208116421,2.094843951,-2.008797084,0.044558658,0.115066953
K00172,59.84600297,0,2.542829449,0,1,1
K00174,340.4158873,-8.124529079,1.271188932,-6.391283685,1.64E-10,2.03E-09
K00175,324.7242687,-9.027015796,1.486330537,-6.073356884,1.25E-09,1.28E-08
K00176,183.2507367,0,2.445456302,0,1,1
K00177,167.9330907,0,2.449931075,0,1,1
K00179,123.3758675,0,2.389313162,0,1,1
K00180,131.2549631,0,2.39029485,0,1,1
K00184,9.87884269,0,2.538419077,0,1,1
K00185,7.995096146,0,2.545811656,0,1,1
K00194,9.972765496,0,2.703175631,0,1,1
K00196,1.4173587,0,2.893984548,0,1,NA
K00197,9.601150835,0,2.693556941,0,1,1
K00198,21.79971181,0,2.660897116,0,1,1
K00208,97.71407283,-4.071687643,1.017894951,-4.000105944,6.33E-05,0.000286097
K00209,8.832086311,0,2.67944949,0,1,1
K00215,361.2866069,-0.56335009,0.19954041,-2.823238106,0.004754125,0.016596789
K00219,13.56469021,-9.753051745,1.654865567,-5.893561349,3.78E-09,3.33E-08
K00226,10.06082415,5.13025345,2.914860759,1.760033798,0.078402076,0.185446242
K00228,8.713088808,-9.560872995,8.246493509,-1.159386469,0.24629869,0.462271194
K00230,5.619322797,0,2.654892414,0,1,1
K00231,9.960221694,-6.371070432,1.37858819,-4.621445676,3.81E-06,2.12E-05
K00239,185.1567603,-7.652436988,0.776999176,-9.848706693,6.94E-23,5.83E-21
K00240,196.6187004,-7.805085776,0.788076588,-9.903968594,4.00E-23,3.44E-21
