KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00009,79.98419707,-3.399944809,0.675829892,-5.030770091,4.89E-07,1.90E-06
K00012,309.1274799,10.43299711,1.223866962,8.524616999,1.53E-17,4.45E-16
K00013,193.8834438,6.761653383,0.527519309,12.81783107,1.30E-37,2.96E-35
K00024,144.8594097,7.309703553,1.156436475,6.320886369,2.60E-10,1.73E-09
K00027,163.8844893,2.715641922,0.850845171,3.191699284,0.001414385,0.002856722
K00031,127.4662142,2.289714568,0.972547226,2.354347951,0.018555233,0.030746699
K00041,117.4614024,3.31935716,0.905331004,3.666456961,0.000245934,0.00056962
K00046,138.6979358,3.010372861,0.918783955,3.276475219,0.001051115,0.002163625
K00053,237.2098921,3.729989381,0.763346948,4.886361821,1.03E-06,3.76E-06
K00054,81.93265834,-2.247047326,0.724253147,-3.102571711,0.001918471,0.003794247
K00058,140.1902932,2.757756047,0.860767616,3.203833412,0.001356109,0.002748525
K00067,370.2921782,4.536681936,0.69268445,6.549420792,5.78E-11,4.36E-10
K00077,152.1253365,3.015462342,0.596106706,5.0585949,4.22E-07,1.67E-06
K00097,134.6252301,9.644846624,1.623560771,5.940551653,2.84E-09,1.55E-08
K00099,291.4447147,7.789952492,0.613708938,12.69323616,6.45E-37,1.20E-34
K00112,86.56282646,9.095271272,1.457906203,6.238584658,4.42E-10,2.77E-09
K00113,86.08028898,8.963356507,1.605535653,5.582782601,2.37E-08,1.14E-07
K00169,60.96422551,8.738025543,1.364335181,6.404603256,1.51E-10,1.05E-09
K00172,59.84600297,8.658265868,1.362841208,6.35309955,2.11E-10,1.43E-09
K00174,340.4158873,9.137700404,1.131040248,8.0790232,6.53E-16,1.29E-14
K00175,324.7242687,9.869128338,1.333981074,7.398252142,1.38E-13,1.68E-12
K00176,183.2507367,9.994295459,1.267786454,7.883264117,3.19E-15,5.30E-14
K00177,167.9330907,10.07773897,1.271994783,7.922783258,2.32E-15,4.01E-14
K00179,123.3758675,9.444793664,1.21397603,7.780049552,7.25E-15,1.11E-13
K00180,131.2549631,9.451915366,1.214928111,7.779814523,7.26E-15,1.11E-13
K00208,97.71407283,2.359924286,0.727912146,3.242045484,0.001186751,0.00243058
K00239,185.1567603,6.575799904,0.665787478,9.876725109,5.25E-23,3.77E-21
K00240,196.6187004,6.68496511,0.676333033,9.884132202,4.88E-23,3.56E-21
K00241,182.211466,6.097438743,0.988945986,6.165593299,7.02E-10,4.24E-09
