KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00003,281.8378753,0.501405972,0.173746282,2.885851511,0.003903563,0.015304631
K00004,77.76890922,-0.887195083,0.445346322,-1.992146426,0.046354994,0.104997827
K00005,44.3587501,-0.913483824,1.10603207,-0.825910793,0.408854698,0.586115123
K00008,27.85812423,3.147602218,1.23335663,2.5520617,0.010708755,0.033615506
K00009,167.6593868,-0.782187944,0.430735756,-1.815934557,0.069380412,0.144496271
K00010,90.00188981,-0.357044647,0.840518445,-0.424790971,0.67098906,0.837567526
K00012,278.9761912,1.327193902,1.145159598,1.158959768,0.246472585,0.412548411
K00013,243.0363289,1.212524289,0.369269964,3.283571393,0.001025007,0.005468103
K00014,363.6416987,0.419300677,0.165609014,2.531871108,0.011345569,0.035023278
K00016,482.6746382,-0.292627436,0.242297551,-1.207719332,0.227155239,0.385837847
K00018,108.9735907,-0.023693215,1.007102422,-0.023526122,0.981230602,1
K00019,0.977084227,-4.936446158,5.191489528,-0.950872795,0.341668954,NA
K00020,169.1346173,-0.845007835,0.36136368,-2.338386183,0.019367224,0.054214343
K00024,113.7680176,3.813491408,1.361557901,2.800829408,0.005097146,0.018866686
K00027,173.3520089,0.56722888,0.839353585,0.675792527,0.49917238,0.680848112
K00029,163.0800343,-1.037035138,0.363299611,-2.854490083,0.004310598,0.016551509
K00030,19.05372971,5.906774944,1.300574346,4.541666504,5.58E-06,9.23E-05
K00031,207.7975769,0.801077624,0.339447946,2.359942466,0.01827777,0.051683338
K00033,338.0041882,-0.845888379,0.369192958,-2.291182325,0.021952871,0.059656201
K00034,27.40060465,-0.714138537,2.711567242,-0.263367445,0.79226738,0.950769551
K00036,190.3132846,-0.880269635,0.378004231,-2.328729584,0.019873396,0.055156795
K00038,2.851466893,0,3.018903237,0,1,1
K00041,74.27084354,0.014819151,0.912846486,0.016234001,0.98704771,1
K00042,4.294569161,-1.564786446,1.490296012,-1.04998365,0.29372563,0.462872714
K00045,6.419088747,-2.793669838,1.538956237,-1.815301677,0.069477561,0.14454442
K00046,141.9321613,-0.53721711,0.999234153,-0.537628852,0.590833307,0.765241813
K00048,46.49361852,-0.887781014,1.252209419,-0.708971679,0.478342052,0.661871042
K00052,252.4125035,1.03236165,0.372645973,2.770355042,0.005599522,0.020473907
K00053,281.2246743,0.921113196,0.356047952,2.58704815,0.009680206,0.031060975
K00054,118.7122126,-0.974878244,0.481081496,-2.026430555,0.042720682,0.098305401
K00057,358.1829767,0.51186836,0.157221818,3.255708177,0.001131099,0.005873595
K00058,170.1330341,2.655032242,0.989053912,2.684416096,0.007265662,0.024888078
K00059,518.7298562,0.919829029,0.244602181,3.760510329,0.000169567,0.001345852
K00060,28.31689995,24.58159709,1.919042785,12.80930122,NA,NA
K00065,31.13964727,3.037489941,1.164620575,2.608136939,0.009103653,0.029898876
K00067,494.8586866,0.516405802,0.160935474,3.208775483,0.001333015,0.006708022
K00068,37.67662251,-0.534673222,1.166607047,-0.458314754,0.646726326,0.816372907
K00073,41.30759656,-0.869819263,1.21682872,-0.714824731,0.474717351,0.658533306
K00074,55.51797617,2.286971143,1.04959885,2.178900199,0.029339083,0.074443872
K00075,403.6215438,0.625692491,0.250208563,2.500683762,0.012395381,0.037691479
K00076,26.63231144,0,1.619522997,0,1,1
K00077,414.4970276,-0.217584287,0.15225002,-1.429124848,0.152968353,0.277317279
K00078,56.68948534,-0.175057737,0.955113748,-0.1832847,0.854574639,1
K00087,10.68803099,5.699481026,1.366559025,4.170680463,3.04E-05,0.000355287
K00088,428.3365772,0.357215364,0.119081044,2.999766823,0.002701864,0.011609708
K00090,1.136077567,-5.154402596,5.190571971,-0.993031717,0.320694498,NA
K00091,100.5347059,0.164257117,0.518237641,0.316953274,0.751279058,0.912676685
K00096,16.81642648,6.924900091,1.374089461,5.039628269,4.66E-07,1.32E-05
K00097,90.31343648,-5.465786932,1.333621956,-4.098453019,4.16E-05,0.000449909
K00098,4.427504057,0,1.810015884,0,1,1
K00099,239.172832,3.51177702,0.808110807,4.345662737,1.39E-05,0.000193689
K00100,46.43421632,-1.043147756,1.377907399,-0.757052148,0.449018621,0.632546073
K00104,57.05777809,4.2039092,1.219873517,3.446184496,0.000568562,0.003474546
K00105,104.2815686,-0.961304664,0.479006792,-2.006870632,0.04476344,0.102282757
K00111,251.9843233,-0.083319967,0.174200414,-0.478299477,0.632437068,0.802100277
K00112,50.93320008,1.448838307,1.545055403,0.937725795,0.348385344,0.520047694
K00113,48.17271909,0,1.565140978,0,1,1
K00116,1.568969989,-5.619815128,5.189020002,-1.083020518,0.278799316,0.451372856
K00121,2.526971305,-6.307457295,4.931817668,-1.278931566,0.200921156,0.349175395
K00123,28.38083195,-0.520407988,1.923119277,-0.270606194,0.786693931,0.945533949
K00124,12.10527124,0,1.755486815,0,1,1
K00125,15.42093377,6.460827225,1.405306815,4.597449578,4.28E-06,7.66E-05
K00127,1.218951391,0,2.161503424,0,1,NA
K00132,44.24578452,-0.783848419,1.141822518,-0.686488842,0.492404898,0.674085772
K00133,371.851776,0.477975635,0.150673097,3.172269273,0.001512527,0.007410813
K00134,585.0390124,-0.164073897,0.075688754,-2.167744714,0.030178115,0.076078464
K00138,1.660610385,-5.701696169,5.188795017,-1.098847835,0.271834444,0.444147909
K00140,35.99349269,-0.595856171,0.866663659,-0.687528737,0.491749598,0.673783221
K00145,311.3997082,0.909917223,0.33450273,2.720208665,0.006524073,0.022931149
