COMPOUND,KO
Acetate,K01067
Acetate,K01905
Acetate,K22224 
Acetate,K24012
Acetate,K01895
Acetate,K01913
Acetate,K00925
Acetate,K01895
Acetate,K01913
Acetate,K01512
Acetate,K19670
Acetate,K00467
Acetate,K01643
Acetate,K01644
Acetate,K01646
Acetate,K01437 
Acetate,K01438
Acetate,K14677
Acetate,K00128
Acetate,K00149 
Acetate,K14085
Acetate,K00129
Acetate,K00138 
Acetate,K01738 
Acetate,K10150 
Acetate,K13034
Acetate,K17069
Acetate,K01026
Acetate,K01049
Acetate,K01034
Acetate,K01035
Acetate,K19709
Acetate,K01740 
Acetate,K01034
Acetate,K01035
Acetate,K19709
Acetate,K18614
Acetate,K01739
Acetate,K01740
Acetate,K01443
Acetate,K01452
Acetate,K05823
Acetate,K01060
Acetate,K12339
Acetate,K22846
Acetate,K00156
Acetate,K01739
Acetate,K01738
Acetate,K10150
Acetate,K13034
Acetate,K01039
Acetate,K01040 
Acetate,K01910 
Acetate,K01062  
Acetate,K16794
Acetate,K16795
Acetate,K02535
Acetate,K16363
Acetate,K01742
Acetate,K01738 
Acetate,K01740
Acetate,K10150
Acetate,K13034
Acetate,K17069
Acetate,K01739 
Acetate,K10702 
Acetate,K02079
Acetate,K02228
Acetate,K18122
Acetate,K01026
Acetate,K01039
Acetate,K01040
Acetate,K12636 
Acetate,K21026
Acetate,K03434
Acetate,K21026
Acetate,K01034
Acetate,K01035
Acetate,K19709
Acetate,K01640
Acetate,K00512
Acetate,K00512
Acetate,K12915
Acetate,K12915
Acetate,K13551
Acetate,K17078
Acetate,K17078
Acetate,K13929
Acetate,K01438
Acetate,K15784
Acetate,K17056 
Acetate,K17055
Acetate,K17055
Acetate,K17056
Acetate,K17216 
Acetate,K18118
Acetate,K17648
Acetate,K17648 
Acetate,K19725
Acetate,K14677
Acetate,K18288
Acetate,K18372 
Acetate,K20583 
Acetate,K22097
Acetate,K22097 
Butyrate,K01896
Butyrate,K01913
Butyrate,K23756
Butyrate,K01034
Butyrate,K01035
Butyrate,K19709
Butyrate,K01034 
Butyrate,K01035
Butyrate,K00929 
propionate,K01905
propionate,K22224 
propionate,K24012 
propionate,K01895
propionate,K01908
propionate,K01026
propionate,K00925
propionate,K00932 
propionate,K19697
propionate,K01895
propionate,K01908
propionate,K20454
propionate,K01026
propionate,K18092 
propionate,K22214
Pyruvate,K01652
Pyruvate,K01653
Pyruvate,K11258
Pyruvate,K10218
Pyruvate,K00161 
Pyruvate,K00162  
Pyruvate,K00163  
Pyruvate,K01568 
Pyruvate,K01652
Pyruvate,K01653
Pyruvate,K11258
Pyruvate,K00101  
Pyruvate,K00102
Pyruvate,K01007  
Pyruvate,K00873
Pyruvate,K12406
Pyruvate,K07248  
Pyruvate,K01006
Pyruvate,K00158
Pyruvate,K00161  
Pyruvate,K00162
Pyruvate,K00163
Pyruvate,K00382
Pyruvate,K00627  
Pyruvate,K00656
Pyruvate,K00027
Pyruvate,K00028
Pyruvate,K07246
Pyruvate,K00029 
Pyruvate,K01003
Pyruvate,K01752
Pyruvate,K01754 
Pyruvate,K17989 
Pyruvate,K01753 
Pyruvate,K20498
Pyruvate,K01652
Pyruvate,K01653
Pyruvate,K11258 
Pyruvate,K08691 
Pyruvate,K18292 
Pyruvate,K00814
Pyruvate,K14260
Pyruvate,K14272
Pyruvate,K01958
Pyruvate,K01959
Pyruvate,K01960 
Pyruvate,K10218
Pyruvate,K03416
Pyruvate,K17489
Pyruvate,K17490
Pyruvate,K00827
Pyruvate,K00830 
Pyruvate,K14272 
Pyruvate,K00259 
Pyruvate,K19244
Pyruvate,K03417 
Pyruvate,K00873
Pyruvate,K12406
Pyruvate,K01625
Pyruvate,K18123
Pyruvate,K18123
Pyruvate,K23233
Pyruvate,K00830 
Pyruvate,K13290
Pyruvate,K01667
Pyruvate,K05821 
Pyruvate,K00016 
Pyruvate,K03777
Pyruvate,K03778
Pyruvate,K01668 
Pyruvate,K01666
Pyruvate,K18365
Pyruvate,K00816
Pyruvate,K01758
Pyruvate,K01760 
Pyruvate,K14155
Pyruvate,K17217
Pyruvate,K20021
Pyruvate,K22207
Pyruvate,K00822
Pyruvate,K03416
Pyruvate,K01656 
Pyruvate,K01657 
Pyruvate,K01658
Pyruvate,K13497
Pyruvate,K13501
Pyruvate,K13503
Pyruvate,K01656
Pyruvate,K01657
Pyruvate,K01658 
Pyruvate,K13497 
Pyruvate,K13501
Pyruvate,K13503
Pyruvate,K05878
Pyruvate,K05879
Pyruvate,K05881 
Pyruvate,K01631
Pyruvate,K11395
Pyruvate,K01557 
Pyruvate,K16164
Pyruvate,K16165
Pyruvate,K00873
Pyruvate,K12406
Pyruvate,K00824
Pyruvate,K00169
Pyruvate,K00170
Pyruvate,K00171
Pyruvate,K00172
Pyruvate,K00174
Pyruvate,K00175
Pyruvate,K00189 
Pyruvate,K03737
Pyruvate,K00835
Pyruvate,K14260
Pyruvate,K00816 
Pyruvate,K01760
Pyruvate,K14155 
Pyruvate,K03181 
Pyruvate,K18240
Pyruvate,K20454 
Pyruvate,K02510
Pyruvate,K02510
Pyruvate,K00161
Pyruvate,K00162 
Pyruvate,K00163
Pyruvate,K18608
Pyruvate,K22397
Pyruvate,K01639
Pyruvate,K00873
Pyruvate,K12406 
Pyruvate,K05396
Pyruvate,K00827
Pyruvate,K12660
Pyruvate,K18339
Pyruvate,K00873
Pyruvate,K12406 
Pyruvate,K00816 
Pyruvate,K01758
Pyruvate,K01760
Pyruvate,K14155
Pyruvate,K17217
Pyruvate,K21623
Pyruvate,K01630
Pyruvate,K01252
Pyruvate,K01652
Pyruvate,K01653
Pyruvate,K01011
Pyruvate,K00156
Pyruvate,K01630 
Pyruvate,K03430
Pyruvate,K09469 
Pyruvate,K00822
Pyruvate,K01652
Pyruvate,K01653 
Pyruvate,K11258
Pyruvate,K00816
Pyruvate,K01760
Pyruvate,K14155
Pyruvate,K14585
Pyruvate,K18365
Pyruvate,K02619
Pyruvate,K03342
Pyruvate,K18482
Pyruvate,K01625
Pyruvate,K11395
Pyruvate,K17463
Pyruvate,K01662
Pyruvate,K11946
Pyruvate,K11395
Pyruvate,K18127 
Pyruvate,K01652
Pyruvate,K01653
Pyruvate,K11258
Pyruvate,K11819 
Pyruvate,K11819
Pyruvate,K11819
Pyruvate,K11819
Pyruvate,K12256
Pyruvate,K05821 
Pyruvate,K00816
Pyruvate,K01758
Pyruvate,K01714
Pyruvate,K16871 
Pyruvate,K16903
Pyruvate,K18103
Pyruvate,K03851
Pyruvate,K04781
Pyruvate,K04782
Pyruvate,K09011
Pyruvate,K16845
Pyruvate,K16846
Pyruvate,K19669 
Pyruvate,K12252
Pyruvate,K11819
Pyruvate,K08680
Pyruvate,K14759
Pyruvate,K11949
Pyruvate,K17950
Pyruvate,K18239
Pyruvate,K18240
Pyruvate,K11395
Pyruvate,K18127 
Pyruvate,K18314
Pyruvate,K18336
Pyruvate,K03737
Pyruvate,K00827
Pyruvate,K18913
Pyruvate,K20247 
Pyruvate,K19793 
Pyruvate,K09022
Pyruvate,K21428
Pyruvate,K20758
Pyruvate,K20261
Pyruvate,K03777
Pyruvate,K21618
Pyruvate,K24276
Pyruvate,K01571
Pyruvate,K01573
Pyruvate,K20509
Pyruvate,K00816
Pyruvate,K01760
Pyruvate,K14155
Acetyl-CoA,K00161  
Acetyl-CoA,K00162
Acetyl-CoA,K00163
Acetyl-CoA,K00382
Acetyl-CoA,K00627
Acetyl-CoA,K00656
Acetyl-CoA,K01067
Acetyl-CoA,K00132
Acetyl-CoA,K04021
Acetyl-CoA,K04072
Acetyl-CoA,K04073
Acetyl-CoA,K18366
Acetyl-CoA,K01905
Acetyl-CoA,K22224
Acetyl-CoA,K24012
Acetyl-CoA,K00625
Acetyl-CoA,K04020
Acetyl-CoA,K13788 
Acetyl-CoA,K15024
Acetyl-CoA,K01578
Acetyl-CoA,K01895
Acetyl-CoA,K01913
Acetyl-CoA,K01895
Acetyl-CoA,K01913 
Acetyl-CoA,K08691
Acetyl-CoA,K18292
Acetyl-CoA,K00626
Acetyl-CoA,K00632
Acetyl-CoA,K07508 
Acetyl-CoA,K07509 
Acetyl-CoA,K07513
Acetyl-CoA,K00618 
Acetyl-CoA,K00619
Acetyl-CoA,K00620 
