KO,s211004_MEGANKENNEDYHF10_SORTED,s211004_MEGANKENNEDYHF11_SORTED,s211004_MEGANKENNEDYHF12_SORTED,s211004_MEGANKENNEDYHF13_SORTED,s211004_MEGANKENNEDYHF14_SORTED,s211004_MEGANKENNEDYHF15_SORTED,s211004_MEGANKENNEDYHF16_SORTED,s211004_MEGANKENNEDYHF17_SORTED,s211004_MEGANKENNEDYHF189_SORTED,s211004_MEGANKENNEDYHF18_SORTED,s211004_MEGANKENNEDYHF19_SORTED,s211004_MEGANKENNEDYHF1_SORTED,s211004_MEGANKENNEDYHF20_SORTED,s211004_MEGANKENNEDYHF21_SORTED,s211004_MEGANKENNEDYHF22_SORTED,s211004_MEGANKENNEDYHF23_SORTED,s211004_MEGANKENNEDYHF24_SORTED,s211004_MEGANKENNEDYHF2_SORTED,s211004_MEGANKENNEDYHF3_SORTED,s211004_MEGANKENNEDYHF4_SORTED,s211004_MEGANKENNEDYHF5_SORTED,s211004_MEGANKENNEDYHF6_SORTED,s211004_MEGANKENNEDYHF7_SORTED,s211004_MEGANKENNEDYHF8_SORTED,s230228_MEGAN_HF1125_SORTED,s230228_MEGAN_HF1129_SORTED,s230228_MEGAN_HF1210_SORTED,s230228_MEGAN_HF1213_SORTED,s230228_MEGAN_HF1258_SORTED,s230228_MEGAN_HF1379_SORTED,s230228_MEGAN_HF1382_SORTED,s230228_MEGAN_HF151_SORTED,s230228_MEGAN_HF181_SORTED,s230228_MEGAN_HF187_SORTED,s230228_MEGAN_HF217_SORTED,s230228_MEGAN_HF223_SORTED,s230228_MEGAN_HF3022_SORTED,s230228_MEGAN_HF3060_SORTED,s230228_MEGAN_HF453_SORTED,s230228_MEGAN_HF459_SORTED,s230228_MEGAN_HF497_SORTED,s230228_MEGAN_HF499_SORTED,s230228_MEGAN_HF515_SORTED,s230228_MEGAN_HF561_SORTED,s230228_MEGAN_HF563_SORTED,s230228_MEGAN_HF596_SORTED,s230228_MEGAN_HF597_SORTED,s230228_MEGAN_HF73_SORTED,s230228_MEGAN_HF79_SORTED,s230228_MEGAN_HF97_SORTED
K00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408888889,0,0,0,0,0,0,0,0,0,0,0,0,7.974222222,0,0,0,0,0,0
K00002,0,0.958469945,0,2,1.747540984,2.163934426,0.53442623,0.514754098,0,2.956284153,0,0,0,0,0.323497268,0,0,0.483060109,0.323497268,0.933333333,0.369398907,0.646994536,5.11147541,4.718032787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252459016,0,0,0,0,0,0,0,0,0,0
K00003,8.059366364,226.1236208,213.698113,204.0408888,162.5106449,207.0370835,253.3432122,233.6620788,649.201366,468.2798556,205.2014397,305.5362153,106.079356,237.5155353,283.9176711,256.0054109,244.6534625,225.0977412,234.4896219,242.6284955,282.3951244,221.4912357,218.1921519,223.0909936,144.05368,194.6923927,0,173.4164724,604.0482866,216.2773927,458.2790287,366.1994948,232.9933821,316.0233345,219.7388694,384.6345109,198.049039,382.8183843,207.7661052,234.495525,284.8388066,181.0319436,534.0209084,323.3845521,203.2133533,482.8192541,109.6293837,8.403892488,331.5099408,167.5183707
K00004,0,0.515235457,0.391505078,0.007386888,1.108832961,0,0.3665717,0.281101614,194.022409,3.172302852,25.34279714,0.658356417,23.79527767,28.4330046,27.9924631,29.27311312,49.51844782,0.540166205,0.136657433,0.272391505,0.548476454,0.308402585,0,0.344413666,0,25.87362627,0,193.535014,0,1.060018467,161.9203506,243.2072829,0.513388735,82.32399627,0.559006979,59.74433245,0.432132964,30.2875817,9.919701214,0,326.8450047,89.08397971,3.197898655,345.6468997,0.547958215,177.0448179,0,10.14055081,377.9169001,2.257359924
K00005,0.774248529,15.56949081,18.9501358,17.5212181,14.38756429,13.3356479,7.981063658,22.54910704,337.7200746,34.17790559,14.2551735,12.54081327,4.244272838,16.48883484,15.46753921,13.39758518,12.41225202,27.80445155,14.83222464,17.30361287,26.10190755,25.00359572,11.07740947,13.08075827,28.52301975,31.16150017,0.229946524,0.275799087,9.427807487,14.44930054,286.5263158,7.722807018,57.13021945,188.2692034,21.91568877,23.36438229,58.78073424,7.301754386,23.22183266,19.21228717,0.464802874,26.27808471,2.710865562,0,35.9104749,290.3736842,27.5810511,10.92265193,0,48.5165945
K00008,0.659199566,28.42964827,36.59213485,42.66616748,23.50645168,38.46155825,33.73127837,22.85942498,0,97.00590273,45.37623926,71.60969631,29.24775041,70.31445383,77.09658161,74.92198321,34.50305004,25.41061697,54.82267417,22.73681395,57.68689756,39.72811128,24.46188591,17.49811796,49.54834789,19.27216571,0,0,0,23.44630815,0,0,39.35683682,0,54.50436445,22.13740565,32.96338979,10.58125918,25.40080869,10.63883184,0,1.700315457,0,8.045845272,14.16555396,0,17.53605192,3.295478444,0,0.845425868
K00009,0.49965812,20.29994016,9.737179564,28.74848744,20.52066681,17.56085334,14.28762139,17.18935603,688.022564,41.33314597,60.6880046,55.90897295,42.4517982,72.94943685,78.54711,75.92823686,90.09540792,21.22548281,44.59625178,14.92574341,48.55209226,22.55664312,10.78335616,10.80763717,17.95866265,72.43223248,0,325.8519098,587.9373368,26.11760104,553.3278852,325.8846151,23.41932767,316.3938446,60.34982778,132.3618338,85.39611737,41.04576143,28.46676732,139.6411426,510.5963145,75.62555853,515.3368157,475.2513508,42.94726235,631.1583895,58.41644991,0,511.6929486,228.5013055
K00010,1.407868048,37.17001904,17.93586512,38.15011792,24.46695852,43.84417062,27.88173341,28.83804102,559.3921075,89.96946468,57.68332716,63.71464598,33.16287835,53.0626535,51.14967723,55.64374953,23.60357472,28.31026033,36.20758242,32.69970203,99.86956626,27.62261478,20.03846787,27.97943517,55.69180945,28.61463493,0,0,0,26.4616335,555.0535725,16.11254669,40.41503408,312.9951227,52.43314169,126.9768656,37.11800817,39.58018732,29.09247793,6.633609628,0,132.9290102,5.409411877,5.656565657,15.05940887,584.50845,17.96666373,0,0,66.00782014
K00012,14.35879996,386.543853,358.640323,315.5292294,287.5616096,314.6581043,518.1311183,403.8392324,400.2014665,826.2428241,483.6926624,417.003586,214.5612385,300.041509,363.529451,333.4013777,454.3617698,409.7677607,402.4022119,463.3604801,350.3533508,444.722015,459.2573586,356.0025359,327.386305,224.4928523,0,0,0,809.9840718,8.523990131,134.2189229,202.3531317,192.6942181,164.5619584,225.9248817,374.7286535,390.8447328,242.7474417,285.8395358,0.242570281,108.7927684,0.834991195,34.93320096,238.1978633,0,237.8523295,0.080645161,0,0
K00013,10.90202735,273.4325776,233.1051316,199.6735745,183.3443829,202.7347891,268.3177095,246.0774559,266.1846756,379.4057183,221.9684725,223.9507168,123.1086666,251.2726682,247.7444614,230.1847497,281.8331164,210.1342719,218.9667446,301.848984,254.1686141,251.6731941,272.4844577,224.7150832,167.5985784,167.6223186,0,181.1307943,0,382.4204167,143.0730579,300.9809977,179.7944276,104.6927492,176.2087236,299.984181,203.2927195,377.6171872,182.3581506,166.2806071,270.8115854,132.6056954,6.803637634,295.2796871,191.3300361,166.2740845,173.428734,10.49114735,301.6644432,1.871857259
K00014,18.01754104,423.2398915,352.305078,363.7109609,322.5450655,359.2203576,423.8175546,370.7721362,606.8159423,652.3492097,422.3342145,391.7785271,181.3828483,331.6129032,349.3352659,328.5361877,430.4904107,390.0558328,355.7633968,429.6834172,357.8181927,363.4576147,409.1321972,343.985209,275.8215325,209.0273037,0,230.7108014,0,467.8746587,475.8292978,339.3825703,233.1187733,309.3291288,207.1212143,401.1151423,238.4195219,365.6802011,231.9224341,255.6241228,376.1358885,195.4516953,6.051901613,405.6318941,264.1879407,457.2163285,262.7061991,10.59813517,392.960511,49.81454498
K00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300497512,0,0,0,0,0,0,0,0,0,0,0,0,5.15721393,0,0,0,0,0,0
K00016,7.0313183,247.8643741,218.8203589,262.3144843,257.1346597,200.7404686,214.8134391,268.5392376,1574.760081,419.5546227,209.5084406,253.6003363,125.861084,233.7622809,234.9067287,311.2074118,328.1209043,243.9612827,216.6040841,237.7678955,320.2856592,253.7689993,207.9897187,242.5997891,197.3420992,286.2823289,0.30974359,650.7142799,665.626194,313.0549711,1144.055498,683.3152889,377.388817,747.6578451,183.4943209,697.1614942,322.0235414,238.3724643,276.1100173,312.5427299,1053.630411,73.25204056,549.4336488,1021.0463,450.7213247,1214.950656,210.6904875,1.242802837,1083.221533,340.2404177
K00018,10.62785337,175.0909255,161.4092184,189.3752176,148.5030169,196.0049914,230.178029,157.8579875,135.7867195,388.2106997,149.5013714,214.1957251,76.42928091,175.4208706,198.537757,152.1829131,151.403312,177.3360503,183.0842725,168.7945311,184.1377332,153.3463494,189.9174098,135.5737476,145.3685269,113.7525062,0,0,0,67.24454776,2.138634047,75.84591195,104.8438063,62.42668984,164.8969126,72.19170089,123.7647723,22.60739792,98.49440193,116.3994138,0,57.77044025,0.316561845,26.72428019,99.53844395,0,126.3284095,0.315569488,0,45.17908903
K00019,0,0,0,0,0,0,0,0,0,0.193464052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.825241983,0,0,0,0,0,0,0,0,0,0,2.175163399,0.592156863,27.1911999,0,0,0,2.874509804,0,0.738562092
K00020,1.200284436,19.11171668,18.59923005,29.68065597,9.283055488,20.37252535,36.49767784,46.8997575,642.1810717,48.19260578,49.49471664,42.01903991,43.35298706,79.6040989,76.10105365,87.83021525,88.33759686,13.46087514,38.24034315,47.02961908,63.36859845,46.87452979,9.843633218,13.13661729,38.39419378,71.31710126,0,310.760771,0,15.30176656,523.0478297,421.2429554,11.79583212,314.1727542,22.75398663,117.3000926,25.39580286,60.60167346,49.9758068,9.979234563,491.318802,100.614134,3.014821286,533.7528797,10.18665053,569.6837193,8.020770594,0,572.1723356,39.8630137
K00022,0,0,0,0,0,0,0,0,0,0,0,0.347467609,0,0,0,0,0,0,6.661955241,0,0,0,0,0,0,2.572438163,0,0,0,0,0,0,0,0,2.580683157,0,0,0,0,0.858657244,0,0,0,0,0,0,0,0,0,0
K00023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.263085399,0,0,0,0,0,0
K00024,10.17737545,237.5659706,198.3684713,160.4184129,173.508799,185.2941955,244.8765704,178.7595288,18.41033435,294.6080858,197.1277198,167.39723,78.83532181,109.2470172,112.7850699,93.26474201,202.185438,235.3831292,140.5858161,246.7261802,123.4907125,208.8766873,260.2245387,188.915537,142.534399,54.69011382,0.111468382,0,0,365.3226334,2.968591692,84.2289767,0,6.039513678,40.15815785,0,125.4026199,269.3080808,55.08248585,156.4550944,0,124.3093538,1.071115459,24.69035152,87.1887045,0.323687031,163.515632,2.928282828,0,1.525252525
K00027,4.131013814,151.2607157,154.1238823,155.4056482,127.9264074,194.8102727,206.6672194,188.9191594,367.9047185,354.2351885,246.4409017,240.5149239,105.4611821,213.726909,226.4601718,223.6583039,224.9929106,175.5070327,206.0176796,204.6936269,233.93356,178.2250545,184.7488995,171.1631928,154.6197151,121.1144522,0,0.063938619,0,290.8490169,303.5589744,6.763247863,146.6053855,209.0241417,175.6618214,283.5131707,205.7557596,110.0322213,152.9402,120.1816724,0,81.57088125,2.953169277,0,155.321719,303.3278342,141.1932652,10.60906523,0,66.63157285
K00029,5.694783276,212.1053641,173.5900671,165.3481082,164.135896,182.2662695,178.4069237,157.6589324,252.780695,224.4801258,190.2712528,141.0313149,96.45004985,123.4358356,108.591521,111.41702,200.4567468,221.4152644,145.4251182,213.0415985,107.4799835,177.6656212,221.7839747,164.3343868,140.9199452,81.5876832,0,209.8699973,563.3601732,266.6877356,177.1614295,311.3631717,55.65419312,102.6288313,50.48447199,56.76393396,188.9499328,29.28829045,61.62081704,260.9577892,336.2858903,52.90654449,463.7337329,349.3790268,138.1799027,183.8238333,220.1988961,0.675672033,368.3598275,172.1611111
