Treatment,day,Rec_day_adj,KO,meanRelAbun,kcat.mod,ksys.mod,kfam.mod
RC-ABX,D2,-13,K00549,0.000132059,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D2,-13,K01439,9.76E-05,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D2,-13,K01480,0.000137082,Arginine and proline metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D2,-13,K05822,4.44E-05,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D2,-3,K00549,0.00024403,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D2,-3,K01439,0.000185888,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D2,-3,K01480,0.000115803,Arginine and proline metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D2,-3,K05822,0.000117514,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D2,2,K00549,0.001375891,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D2,2,K01439,0.000648775,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D2,2,K01480,0.000847494,Arginine and proline metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D2,2,K05822,0.000583414,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D2,4,K00549,0.00074243,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D2,4,K01439,0.000689365,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D2,4,K01480,1.09E-05,Arginine and proline metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D2,4,K05822,0.000553193,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D2,14,K00549,0.000358707,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D2,14,K01439,0.000294085,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D2,14,K01480,7.94E-05,Arginine and proline metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D2,14,K05822,0.000101865,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D2,28,K00549,0.000189351,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D2,28,K01439,0.00021087,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D2,28,K01480,0.000108799,Arginine and proline metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D2,28,K05822,0.000122259,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,-13,K00547,2.36E-05,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
