Substrate,EC
arabinan,3.2.1.-
arabinan,3.2.1.185
arabinan,3.2.1.37
arabinan,3.2.1.55
arabinan,3.2.1.55
arabinan,3.2.1.99
arabinan,3.2.1.-
arabinan,3.2.1.-
arabinan,3.2.1.-
arabinan,3.2.1.37
arabinan,3.2.1.55
arabinan,3.2.1.55
arabinan,3.2.1.55
starch,1.14.99.55
starch,2.4.1.2
starch,3.2.1.-
starch,3.2.1.1
starch,3.2.1.116
starch,3.2.1.133
starch,3.2.1.141
starch,3.2.1.20
starch,3.2.1.20
starch,3.2.1.20
starch,3.2.1.3
starch,3.2.1.60
starch,3.2.1.70
starch,5.4.99.15
starch,3.2.1.2
starch,3.2.1.1
starch,2.4.1.161
starch,2.4.1.18
starch,2.4.1.25
starch,2.4.99.16
starch,3.2.1.-
starch,3.2.1.1
starch,3.2.1.1
starch,3.2.1.68
starch,3.2.1.98
starch,3.2.1.70
starch,2.4.1.-
xylan,1.14.99.-
xylan,1.14.99.-
xylan,2.4.2.-
xylan,3.1.1.72
xylan,3.2.1.-
xylan,3.2.1.-
xylan,3.2.1.136
xylan,3.2.1.156
xylan,3.2.1.32
xylan,3.2.1.37
xylan,3.2.1.37
xylan,3.2.1.37
xylan,3.2.1.37
xylan,3.2.1.37
xylan,3.2.1.37
xylan,3.2.1.8
xylan,3.2.1.8
xylan,3.2.1.8
xylan,3.2.1.8
xylan,3.2.1.8
xylan,3.2.1.8
xylan,3.2.1.8
xylan,3.2.1.8
xylan,3.2.1.8
xylan,3.2.1.131
xylan,3.2.1.139
cellulose,1.1.99.18
cellulose,1.14.99.54
cellulose,1.14.99.54
cellulose,1.14.99.54
cellulose,1.14.99.54
cellulose,1.14.99.56
cellulose,1.14.99.56
cellulose,3.2.1.176
cellulose,3.2.1.4
cellulose,3.2.1.4
cellulose,3.2.1.4
cellulose,3.2.1.4
cellulose,3.2.1.4
cellulose,3.2.1.73
cellulose,3.2.1.74
cellulose,3.2.1.91
cellulose,3.2.1.91
cellulose,3.2.1.91
cellulose,3.2.1.176
cellulose,3.2.1.74
cellulose,3.2.1.4
cellulose,3.2.1.4
cellulose,3.2.1.4
cellulose,3.2.1.4
cellulose,3.2.1.4
cellulose,3.2.1.4
cellulose,3.2.1.4
